reviews,lemmas,ufeat,aspectCategory
"Yeah, it's that good.","['yeah', 'good']","[""it 's""]",anecdotes/miscellaneous
"If you love seafood, you would love this place!","['love', 'would', 'place', 'seafood']","['you love', 'seafood love', 'love seafood', 'place love']",food
"Good, fast service.","['good', 'fast', 'servic']","['fast service', 'good service']",service
Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.,"['side', 'tasti', 'upper', 'dakshin', 'east', 'indian', 'one', 'restaur', 'afford']","['', 'few affordable', 'tasty indian', 'upper east', 'dakshin is', 'few restaurant', 'upper side', 'east side', 'affordable restaurant']",food
They charge different prices all the time.,"['charg', 'price', 'time', 'differ']","['prices charge', 'they charge', 'different prices']",price
"To dine at Thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside.","['outsid', 'deceiv', 'slightli', 'insid', 'beauti', 'bland', 'dine', 'thalia']","['slightly deceiving', 'so bland']",ambience
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.","['servic', 'suan', 'love', 'th', 'pongsri', 'compar', 'overpric', 'slow']","['', 'i was']",anecdotes/miscellaneous
"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.","['delici', 'artisan', 'menu', 'experi', 'last', 'amaz', 'night', 'friend', 'new', 'chees', 'summer']","['last night', 'new menu', 'friends experienced', 'cheese experienced', 'artisanal night', 'delicious menu', 'amazing cheese', 'new summer', 'artisanal last']",food
"I am so coming back here again, as much as I can.","['back', 'much', 'come']","['i can', 'as much', 'here again', 'so coming', 'back here', 'i coming']",anecdotes/miscellaneous
I have been going back again and again.,"['back', 'go']","['i going', 'back again']",anecdotes/miscellaneous
"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.","['small', 'cozi', 'charmingli', 'even', 'atmosher', 'lead', 'romant', 'extrem']","['that is', ""it 's"", 'charmingly small', 'extremely cozy', 'that leads']",ambience
It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,"['japanes', 'idea', 'experi', 'obviou', 'one', 'cuisin', 'restaur']","['it is', 'japanese cuisine', 'one has', 'idea has']",food
"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.","['appet', 'limit', 'food', 'sever', 'special', 'term', 'noth']","['special nothing', 'ourselves limited', 'several appetizers', 'nothing special', 'we limited']",food
Love the Jazz bands on Fri and Sat.,"['love', 'jazz', 'sit', 'fri', 'band']",['bands love'],ambience
"Overall, excellent restaurant!","['restaur', 'excel', 'overal']",['excellent restaurant'],anecdotes/miscellaneous
"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.","['leav', 'host', 'call', 'tell', 'us', 'phone', 'readi', 'start', 'wait', 'cell', 'tabl', 'offer', 'begin', 'minut']","['we told', 'table was', 'hostess offered', 'us call']",service
The servers give you some sample slices of your order while you wait (shortly I might add).,"['shortli', 'server', 'give', 'wait', 'slice', 'add', 'might', 'sampl', 'order']","['slices give', 'servers give', 'sample slices', 'you wait', 'shortly i', 'i add']",service
The service was ok.,"['ok', 'servic']",[''],service
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","['prepar', 'thai', 'mcdonald', 'understand', 'uncourt', 'ask', 'dish', 'custom', 'restaur', 'rude', 'everi', 'similar', 'thing', 'differ', 'comparison', 'place', 'make', 'downright', 'inde', 'certain', 'repli', 'need']","['place makes', 'downright rude', 'indeed different', 'not is', 'certain dish', 'it is', 'place is', 'dish prepared', 'not was', 'thai restaurants', 'makes things', 'he replied', 'other restaurants', 'this is', 'things makes', 'other thai']",service
I ate here for the first time and absolutely loved it!,"['time', 'eat', 'love', 'absolut', 'first']","['first time', 'it loved', 'i ate', 'absolutely loved']",anecdotes/miscellaneous
"Don't expect to sit down inside though, there are only a few tables and they are always full.","['expect', 'alway', 'insid', 'tabl', 'full', 'sit', 'though']","['few tables', 'they are', 'always full', ""n't expect""]",ambience
"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!","['excit', 'accomod', 'world', 'food', 'ambianc', 'relax', 'staff', 'yet']","['food is', 'yet relaxed', 'staff accomodating', 'ambiance is']",food
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.","['steak', 'servic', 'top', 'food', 'delici', 'special', 'notch', 'husband', 'halibut']","['was top-notch', 'halibut special', 'husband steak', 'food was', 'service was', 'top notch', 'special had', 'had steak', 'i had']",food
The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,"['compens', 'sophist', 'claim', 'lack', 'us', 'show', 'bill', 'anyth', 'manag', 'group', 'could', 'entir']","['not compensate', 'entire group', 'us compensate', 'just shows', 'manager claimed', 'which shows', 'he compensate', 'lack shows']",service
This is by far my favorite place in the neighborhood.,"['favorit', 'far', 'place', 'neighborhood']","['', 'this is']",anecdotes/miscellaneous
But too far east!,"['far', 'east']","['far east', 'too far']",anecdotes/miscellaneous
Satisfying.,['satisfi'],"['m', 'p', 't', 'y']",anecdotes/miscellaneous
Highly Highly Highly recommended!,"['highli', 'recommend']","['highly recommended', 'highly highly']",anecdotes/miscellaneous
it's the only place you can get yummy authentic japanese comfort food.,"['comfort', 'japanes', 'yummi', 'authent', 'get', 'food', 'place']","['only place', 'you get', ""it 's"", 'yummy food', 'food get', 'japanese comfort', 'japanese food', 'authentic food', 'authentic japanese', 'yummy authentic']",food
We took advanatage of the half price sushi deal on saturday so it was well worth it.,"['half', 'advanatag', 'price', 'well', 'worth', 'saturday', 'sushi', 'deal', 'take']","['', 'we took', 'it was', 'well worth', 'half deal', 'took advanatage', 'advanatage took']",price
we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.,"['crowd', 'away', 'late', 'saturday', 'night', 'despit', 'minut', 'reserv', 'come', 'right', 'seat']","['we came', 'crowded saturday', 'right away', 'crowded night']",service
"This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris.","['alley', 'feel', 'bistro', 'villag', 'back', 'east', 'cool', 'pari', 'make', 'place', 'could', 'like', 'enough', 'french']","['east village', 'you be', 'place is', 'you feel', 'back alley']",ambience
We were fast to order the appetizer platter since we were very hungry.,"['platter', 'appet', 'hungri', 'fast', 'sinc', 'order']","['we were', 'platter order', 'very hungry']",anecdotes/miscellaneous
"The staff are attentive, and have smiles on their faces.","['face', 'smile', 'attent', 'staff']","['have smiles', 'staff are']",service
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,"['best', 'shabu', 'state', 'area', 'tri', 'restaur']","['best restaurant', 'shabu-shabu restaurant', 'try-state area', 'best shabu-shabu', 'this is']",food
"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.","['comfort', 'alway', 'dress', 'attitud', 'plenti', 'great', 'busi', 'companionship', 'cod', 'place', 'relax', 'midtown']","['great place', 'busy midtown', 'always busy']",ambience
"Largest and freshest pieces of sushi, and delicious!","['largest', 'sushi', 'delici', 'freshest', 'piec']","['freshest pieces', 'largest pieces']",food
Even the pasta is delicious here (a rarity in New York pizza restaurants).,"['delici', 'pizza', 'restaur', 'york', 'even', 'new', 'rariti', 'pasta']","['pasta is', 'new restaurants', 'new york']",food
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","['appet', 'lot', 'menu', 'choic', 'look', 'dumpl', 'section']","['we looked', ""n't were"", 'most were', 'were dumplings']",food
"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.","['turn', 'say', 'promis', 'run', 'poorli', 'mayb', 'arteri', 'look', 'food', 'aw', 'jewish', 'deli', 'like', 'peopl', 'clog']","['poorly run', 'clogging food', 'i say', 'jewish food', 'deli food', 'who like', 'artery-clogging jewish', 'it looked', 'food like', 'jewish deli']",anecdotes/miscellaneous
After my 3rd time the manager remembered me and treated me like an usual customer.,"['rd', 'time', 'manag', 'usual', 'treat', 'rememb', 'custom', 'like']","['me remembered', 'me treated', 'manager remembered', '3rd time', 'usual customer']",service
This place is greatly welcome in the desolate little strip between the Prospect Expressway and Greenwood Cemetery - a wasteland we like to call The Sliv.,"['like', 'expressway', 'wasteland', 'sliv', 'call', 'strip', 'cemeteri', 'greenwood', 'welcom', 'prospect', 'place', 'desol', 'littl', 'greatli']","['little strip', 'greenwood cemetery', 'desolate strip', 'sliv call', 'desolate little', 'place is', 'prospect expressway', 'greatly welcome', 'we like']",anecdotes/miscellaneous
now if they could only get a toaster.,"['could', 'toaster', 'get']","['toaster get', 'only get', 'they get']",anecdotes/miscellaneous
You will find yourself returning quite often.,"['often', 'return', 'find', 'quit']","['quite often', 'you find', 'yourself returning']",anecdotes/miscellaneous
"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers.","['zucchini', 'newcom', 'open', 'authent', 'check', 'blossom', 'oven', 'neapolitan', 'grow', 'brick', 'legion', 'make', 'pizza', 'fri', 'visit', 'lightli', 'regular']","['authentic neapolitan', 'pizza making', 'authentic pizza', 'frying zucchini', 'not making', 'he making', 'neapolitan pizza', 'he visiting', 'regulars visiting', 'lightly frying', 'growing legion', 'blossoms frying', 'open brick']",service
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"['best', 'uw', 'unappreci', 'blantent', 'wait', 'busi', 'staff', 'pie']","['', 'staff is', 'blantently unappreciative', 'best pie']",food
"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.","['less', 'crust', 'tast', 'never', 'thinner', 'joe', 'crispier', 'occasion', 'slice', 'burn', 'oili', 'fresher', 'like', 'ingredi']","['fresher taste', 'it is', 'slice is', 'it burnt', 'less oily', 'occasionally is', 'crust is', 'ingredients taste', 'never burnt']",food
Fish is so very fresh.,"['fresh', 'fish']","['very fresh', 'fish is', 'so very']",food
The prices were CHEAP compared to the quality of service and food.,"['qualiti', 'servic', 'price', 'cheap', 'compar', 'food']","['', 'prices were']",price
Go only if you are already in the neighborhood and don't want to bother going farther for a better place.,"['better', 'neighborhood', 'alreadi', 'place', 'go', 'bother', 'farther', 'want']","[""n't want"", 'better place', 'you are']",anecdotes/miscellaneous
"Top spot in town for Vietnamese classics, better than places that cost a lot more.","['lot', 'classic', 'town', 'better', 'spot', 'cost', 'vietnames', 'top', 'place']","['more cost', 'better spot', 'that cost', 'lot more', 'vietnamese classics', 'top spot']",food
less wait time for me!,"['time', 'less', 'wait']","['less wait', 'wait time']",service
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.","['perfect', 'accompani', 'quiet', 'theater', 'delici', 'afternoon', 'relax']","['quiet relaxing', 'delicious accompaniment', 'perfect relaxing', 'perfect quiet', 'this was']",food
"The decor is really blah, and not at all hip or happening.","['decor', 'realli', 'blah', 'happen', 'hip']","['', 'not all', 'decor is']",ambience
"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.","['greet', 'fish', 'ping', 'walk', 'u', 'internet', 'tank', 'instantli', 'enter', 'put', 'discov', 'qualm', 'eas']","['', 'that greet', 'you greet', 'discovered ping', 'instantly put', 'u walk', 'we entered', 'ping discovered']",anecdotes/miscellaneous
You cannot go wrong at the Red Eye Grill.,"['wrong', 'cannot', 'red', 'eye', 'go', 'grill']","['you go', 'not go', 'red eye']",anecdotes/miscellaneous
It appears to be the owner's first venture and it shows.,"['show', 'owner', 'ventur', 'appear', 'first']","['', 'it appears', 'it shows']",anecdotes/miscellaneous
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.","['asham', 'fornino', 'blow', 'famili', 'say', 'receipi', 'away', 'pizzeria', 'owner', 'pizza', 'almost', 'come']","[""i 'm"", 'i come', 'families receipies', 'almost ashamed', 'pizza blows']",food
I go twice a month!,"['twice', 'month', 'go']",['i go'],anecdotes/miscellaneous
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,"['thai', 'get', 'noth', 'menu', 'dish', 'noodl', 'soup', 'section', 'beef', 'order']","['', 'nothing was', 'we ordered', 'we got', 'thai section', 'dishes ordered', 'was thai']",food
They have a huge selection of different cream cheeses and all of their salads are great.,"['cream', 'huge', 'select', 'great', 'chees', 'salad', 'differ']","['they have', 'different cream', 'huge selection', 'all are', 'different cheeses', 'selection have']",food
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,"['good', 'lobster', 'shrimp', 'great', 'scallop', 'spaghetti', 'sandwich']","['sandwich is', 'spaghetti is']",food
The food was authentic.,"['food', 'authent']",['food was'],food
The dim sum is delectable while the prices are quite easy on the wallet.,"['delect', 'price', 'easi', 'wallet', 'sum', 'dim', 'quit']","['prices are', 'quite easy', 'dim sum', 'sum is']",food
"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.","['sauc', 'actual', 'fair', 'better', 'italian', 'spinach', 'ravioli', 'tri', 'simpl', 'similar', 'nyc', 'light', 'dish', 'oil', 'joint', 'garlic']","['only tried', 'simple dish', 'dish tried', 'nyc joints', 'dishes tried', 'most nyc', 'similar dishes', 'it faired', 'light sauce', 'light oil', 'actually faired', 'i tried', 'most joints', 'italian joints', 'nyc italian']",food
The worst excuse for Japanese food I've ever encountered.,"['japanes', 'ever', 'encount', 'excus', 'food', 'worst']","['', 'i encountered', 'japanese food', 'worst excuse']",anecdotes/miscellaneous
A million better places to go in the city.,"['better', 'place', 'go', 'citi', 'million']",['better places'],anecdotes/miscellaneous
"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.","['sweat', 'ride', 'wonder', 'around', 'part', 'make', 'hype', 'yawn', 'celebr', 'like', 'what']","['what s', 'celebrities make', 'you sweat', 'you yawn', 'just yawn', 'wonder whats', 'most like']",anecdotes/miscellaneous
Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,"['way', 'okay', 'part', 'caus', 'bland', 'oili', 'mind', 'cook']","['oily part', 'most cooked', 'okay-i do', 'was way', 'i mind', 'too bland', 'most are', ""n't mind"", 'it was', 'part mind']",food
I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,"['teriyaki', 'chicken', 'dri', 'find', 'dish', 'extrem', 'order']","['chicken was', 'dish ordered', 'extremely dry', 'i ordered']",food
I love it.,['love'],"['it love', 'i love']",anecdotes/miscellaneous
If you want something really different than try Jekyll and Hyde.,"['hyde', 'realli', 'jekyl', 'someth', 'tri', 'differ', 'want']","['jekyll try', 'want something', 'try jekyll', 'really different', 'different something', 'something want', 'you want']",anecdotes/miscellaneous
"We had reservations at 9pm, but was not seated until 10:15pm.","['pm', 'reserv', 'seat']","['not seated', 'we had', 'reservations had', 'had reservations']",service
We had Pam's special fried fish and it was amazing.,"['fish', 'pam', 'amaz', 'special', 'fri']","['special fish', 'special fried', 'fried fish', 'we had', 'fish had', 'had pam', 'it was']",food
Its located in greenewich village.,"['villag', 'locat', 'greenewich']",[''],anecdotes/miscellaneous
There is no excuse for such lousy service!,"['excus', 'servic', 'lousi']","['such lousy', 'lousy service', 'such service']",service
Three strikes and this restaurant is out.,"['restaur', 'strike', 'three']",['strikes is'],anecdotes/miscellaneous
We bring in a party of ten or so every week.,"['bring', 'parti', 'ten', 'everi', 'week']","['we bring', 'party bring']",anecdotes/miscellaneous
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,"['good', 'bisqu', 'lobster', 'chowder', 'think', 'award', 'new', 'go', 'england', 'boyfriend']","['it was', 'i think', 'chowder had', 'award go', 'new chowder', 'boyfriend had', 'new england']",food
"So, a little inconsistency there but either way, both pizzas were really good.","['good', 'way', 'either', 'realli', 'pizza', 'inconsist', 'littl']","['pizzas were', 'really good', 'little inconsistency']",food
"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.","['overal', 'favorit', 'sushi', 'everyth', 'delici', 'restaur', 'expens']","['everything was', 'more expensive', 'other favorites', 'restaurant is', 'other sushi']",food
We would return to this place again!,"['return', 'would', 'place']",['we return'],anecdotes/miscellaneous
Not enough wines by the glass either.,"['enough', 'either', 'win', 'glass']","['not enough', 'enough wines']",food
I had the duck breast special on my last visit and it was incredible.,"['breast', 'last', 'incred', 'special', 'visit', 'duck']","['last visit', 'breast special', 'it was', 'i had']",food
I must say it's a little pricey for the food because it was not as spectacular as the view.,"['say', 'spectacular', 'must', 'view', 'food', 'littl', 'pricey']","[""it 's"", 'not as', 'i say', 'as spectacular', 'little pricey', 'not was', 'it was']",price
These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,"['still', 'job', 'great', 'indian', 'make', 'access', 'dish', 'possibl', 'interest', 'innov', 'french', 'fusion']","['indian fusion', 'job do', 'making dishes', 'french indian', 'innovators do', 'as interesting', 'french fusion', 'still being', 'great job', 'dishes making', 'possible as']",food
"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.","['half', 'saw', 'woman', 'nudg', 'get', 'time', 'bar', 'back', 'sit', 'restaur', 'take', 'seat']","[""n't take"", '40times sitting', 'seat take', 'woman get', 'back half', 'i saw', 'just do']",ambience
No gimmicks here -- the food speaks for itself in its freshness and preparation.,"['gimmick', 'speak', 'fresh', 'food', 'prepar']",['food speaks'],food
"We were worried we would have trouble getting in, but somehow managed to have a short wait.","['get', 'would', 'somehow', 'wait', 'manag', 'troubl', 'worri', 'short']","['trouble have', 'we were', 'have trouble', 'somehow managed', 'short wait', 'we have', 'wait have']",anecdotes/miscellaneous
My wife had the fried shrimp which are huge and loved it.,"['wife', 'shrimp', 'love', 'huge', 'fri']","['it loved', 'shrimp had', 'fried shrimp', 'which are', 'wife had']",food
"Everything I had was good, and I'm a eater.","['good', 'everyth', 'eater']","[""i 'm"", 'i had', 'everything was']",food
One should not go to Lucky Strike for the food.,"['lucki', 'food', 'one', 'go', 'strike']","['one go', 'not go', 'lucky strike']",food
The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,"['servic', 'leav', 'time', 'tell', 'would', 'last', 'tabl', 'aw', 'mean', 'need']","['time mean', 'they needed', 'i was', 'we told', 'we have', 'service is', 'table needed', 'i mean', 'last time']",service
We could only get through an appetizer and cheese fondue.,"['appet', 'fondu', 'get', 'chees', 'could']","['only get', 'cheese fondue', 'we get']",food
"To me it exemplifies Soho, cute, artsy, interesting.","['artsi', 'cute', 'exemplifi', 'soho', 'interest']","['soho exemplifies', 'it exemplifies', 'exemplifies soho']",ambience
"Try everything for that matter, it is all good.","['matter', 'good', 'everyth', 'tri']","['everything try', 'try everything', 'it is']",food
Both times we waited well over a half hour for a table (even though we had reservations).,"['half', 'time', 'well', 'wait', 'even', 'tabl', 'though', 'hour', 'reserv']","['half hour', 'we had', 'we waited', 'reservations had', 'had reservations']",service
happy to be a regular at this place and would warmly recommend it to anyone.,"['warmli', 'happi', 'would', 'place', 'anyon', 'regular', 'recommend']",['it recommend'],anecdotes/miscellaneous
I've been eating at Taj Mahal for over twenty years and have found them to be the most excellent of the Indian eateries on this block of Indian restaurants.,"['twenti', 'excel', 'eateri', 'year', 'block', 'eat', 'indian', 'mahal', 'find', 'restaur', 'taj']","['', 'most excellent', 'twenty years', 'i eating', 'taj mahal', 'indian restaurants', 'them be']",anecdotes/miscellaneous
"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.","['nice', 'bar', 'experi', 'wait', 'night', 'manag', 'great', 'make', 'littl', 'without', 'reserv']","['manager was', 'wait experience', 'so nice', 'little while', 'we had', 'great experience']",service
Try the green curry!!!,"['curri', 'green', 'tri']","['green curry', 'curry try']",food
We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,"['appet', 'sauc', 'wonder', 'scallop', 'delici']","['scallops had', 'we had', 'they were', 'sauce was']",food
We were also seated promptly at the time of our reservation and the service was very quick and professional.,"['servic', 'time', 'promptli', 'profession', 'also', 'quick', 'reserv', 'seat']","['also seated', 'service was', 'very quick', 'we seated']",service
"You rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it.","['spici', 'rare', 'green', 'red', 'wait', 'super', 'full', 'curri', 'ask', 'flavor', 'masaman', 'come', 'seat']","['green masaman', 'you ask', 'rarely have', 'you have', 'super spicy']",food
The food there are sastifying.,"['sastifi', 'food']",[''],food
I highly recommend to anyone to give this place a try.,"['highli', 'give', 'place', 'tri', 'anyon', 'recommend']","['try give', 'highly recommend', 'i recommend']",anecdotes/miscellaneous
I highly recommend visiting this restaurant and having dinner and drinks!,"['drink', 'highli', 'dinner', 'restaur', 'visit', 'recommend']","['i recommend', 'having dinner', 'restaurant visiting', 'dinner having', 'highly recommend', 'recommend visiting']",anecdotes/miscellaneous
The bar is very well stocked with interesting beers and well priced wines.,"['beer', 'well', 'price', 'stock', 'bar', 'interest', 'win']","['well priced', 'very well', 'bar stocked', 'well stocked', 'interesting beers', 'priced wines']",food
I agree.,['agre'],['i agree'],anecdotes/miscellaneous
"Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).","['weekend', 'day', 'tell', 'last', 'memori', 'make', 'close', 'tri', 'interest', 'reserv']","['', 'reservations make', 'last day', 'memorial day', 'make reservations', 'i tried', 'they closed']",anecdotes/miscellaneous
The food was good.,"['good', 'food']",['food was'],food
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","['valu', 'worth', 'price', 'select', 'great', 'gigonda', 'hous', 'champagn', 'wine']","['great selection', 'wine selection', 'great value', 'gigondas is', 'great wine', 'champagne is']",food
"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.","['hear', 'background', 'volumin', 'compet', 'luxuri', 'night', 'hard', 'play', 'music', 'everyon', 'convers', 'also', 'els']","[""it 's"", 'conversation hear', 'own conversation', 'same playing', 'also voluminous', 'else competing', 'everyone competing', 'same luxury']",ambience
It just wasn't Thai.,['thai'],"[""n't was"", 'just was', ""n't thai"", 'it was']",anecdotes/miscellaneous
I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.,"['way', 'alway', 'fish', 'get', 'ever', 'enjoy', 'fresh', 'great', 'prepar', 'everyth']","['ever gotten', 'fish is', 'always prepared', 'enjoyed everything', 'everything enjoyed', 'so fresh', 'i enjoyed', 'great way', 'i gotten']",food
I particularly love their yellowfun tuna and their mussel selection.,"['mussel', 'yellowfun', 'particularli', 'love', 'select', 'tuna']","['i love', 'i particularly', 'particularly love', 'tuna love']",food
I love to visit Murrays for my bagel fix.,"['bagel', 'love', 'fix', 'murray', 'visit']","['bagel fix', 'i love', 'murrays visit', 'visit murrays']",anecdotes/miscellaneous
"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.","['sceneri', 'old', 'lot', 'italian', 'dinner', 'thoroughli', 'remind', 'school', 'grandfath', 'stuff', 'make', 'earli', 'admir', 'impress', 'fun', 'reserv']","['old scenery', 'italian scenery', 'school italian', 'fun stuff', 'early dinner', 'thoroughly impressed', 'reservations made', 'old school', 'me reminds', 'early reservations', 'we made']",ambience
Recommended.,['recommend'],"['m', 'p', 't', 'y']",anecdotes/miscellaneous
The place was nice and calm.,"['calm', 'nice', 'place']",['place was'],ambience
Cheese plate is a varied delight and great bargain at $10.,"['plate', 'bargain', 'delight', 'great', 'vari', 'chees']","['varied delight', 'cheese plate', 'great bargain', 'plate is']",food
I could have drank 4 glasses of water and still been parched - so watch out.,"['still', 'drink', 'parch', 'water', 'glass', 'watch', 'could']","['glasses drank', 'still been', 'so watch', 'i drank']",food
"When we sat, we got great and fast service.","['servic', 'get', 'fast', 'great', 'sit']","['fast service', 'we got', 'service got', 'great service', 'we sat']",service
"Most of the servers are very attentive, friendly and quite attractive.","['server', 'attract', 'friendli', 'attent', 'quit']","['very attentive', 'most are', 'quite attractive']",service
I think locals rate this place so high.,"['think', 'place', 'high', 'rate', 'local']","['so high', 'place rate', 'locals rate', 'i think', 'think locals']",anecdotes/miscellaneous
Service is average.,"['averag', 'servic']",['service is'],service
But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,"['sauc', 'fave', 'pizzeria', 'like', 'tradit', 'crust', 'job', 'realli', 'usual', 'pizza', 'plu', 'sort', 'oliv', 'offer', 'brush', 'typic', 'less', 'terrif', 'flat', 'nice', 'godmoth', 'do', 'tomato', 'special', 'oil']","['olive oil-brushed', 'traditional pizza', 'traditional flat', 'nice job', 'olive crust', 'really nice', 'less tomato', 'faves offering', 'typical faves', 'job done', 'oil-brushed crust', 'flat pizza', 'typical pizzeria', 'they done', 'terrific specials', 'usual than', 'brushed crust']",food
Go girls!!!,"['girl', 'go']","['girls go', 'go girls']",anecdotes/miscellaneous
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","['platter', 'fork', 'forget', 'includ', 'pita', 'plastic', 'hummu', 'sandwich']","['they forgot', 'pita include', ""n't include"", 'forks include', 'plastic forks', 'sandwich forgot']",service
"The steak is good, the fish is good and the sushi was surprisingly great.","['steak', 'good', 'fish', 'sushi', 'great', 'surprisingli']","['fish is', 'surprisingly great', 'sushi was', 'steak is']",food
"For asian fusion, there are many places further downtown.","['fusion', 'place', 'asian', 'downtown', 'mani']","['downtown places', 'asian fusion', 'further downtown', 'many places']",anecdotes/miscellaneous
Old school meets New world.,"['meet', 'old', 'school', 'new', 'world']","['school meets', 'old school', 'new world', 'world meets']",anecdotes/miscellaneous
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,"['becom', 'overcrowd', 'jem', 'would', 'reluct', 'place', 'write', 'pizza', 'want']","['i am', 'i want', 'pizza place', 'jem become', 'not want']",anecdotes/miscellaneous
"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.","['joint', 'poor', 'servic', 'eat', 'would', 'poorli', 'mcdonald', 'rather', 'light', 'restaur', 'attent', 'staff']","['very attentive', 'service was', 'not very', 'rather eaten', 'not attentive', 'i eaten', 'staff attentive', 'restaurant lit']",service
This is probably one of my new favorite places.,"['favorit', 'new', 'one', 'place', 'probabl']","['', 'favorite places', 'new places', 'this is']",anecdotes/miscellaneous
"For being number 1, this place has alot of work to do in order to truly earn its so called reputation.","['number', 'call', 'reput', 'truli', 'earn', 'alot', 'place', 'work', 'order']","['', 'called reputation', 'place has', 'so called', 'alot has', 'has alot', 'reputation earn']",anecdotes/miscellaneous
"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.","['prefer', 'quiter', 'famili', 'smaller', 'would', 'go', 'celebr', 'restaur', 'occass']","['occassion celebrate', 'restaurants prefer', 'quiter restaurants', 'i prefer', 'smaller restaurants', 'we go', 'only go']",anecdotes/miscellaneous
The one on the east side is much better than the one on the west side.,"['west', 'better', 'much', 'east', 'one', 'side']","['much better', 'one is', 'west side', 'east side']",anecdotes/miscellaneous
They all know you.,['know'],"['you know', 'they know']",service
"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.","['still', 'divers', 'cocktail', 'chill', 'lot', 'decor', 'decent', 'eat', 'sushi', 'gf', 'choos']","['gf choose', 'diverse cocktails', 'i choose', 'decent sushi', 'still choose']",food
We ended the dinner with a surprisingly light and flaky apple tarte tatin.,"['dinner', 'appl', 'end', 'flaki', 'surprisingli', 'light', 'tart', 'tatin']","['surprisingly light', 'we ended', 'light tarte', 'flaky apple', 'dinner ended']",food
The buffet had a nice selection.,"['select', 'nice', 'buffet']","['buffet had', 'selection had', 'nice selection']",food
Waitstaff are very friendly.,"['waitstaff', 'friendli']","['very friendly', 'waitstaff are']",service
