reviews,lemmas,lemmas,lemmas,aspectCategory
The food was mediocre at best but it was the horrible service that made me vow never to go back.,"['best', 'make', 'never', 'go', 'back', 'vow', 'servic', 'horribl', 'food', 'mediocr']",horrible service;,food was;it was;horrible service;that made;me vow;never go;,food
LLOOVVE THIS PLACE.,"['place', 'lloovv']",,place lloovve;,anecdotes/miscellaneous
So some of the reviews here are accurate about the crowd and noise.,"['nois', 'review', 'accur', 'crowd']",here are;,some are;,anecdotes/miscellaneous
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.","['eat', 'spice', 'place', 'get', 'mind', 'beauti', 'set', 'logic', 'grab', 'drink', 'great', 'pay', 'cheap']",great place;cheap eats;beautiful setting;,you get;you pay;spice is;great place;cheap eats;eats grab;beautiful setting;,food
"Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.","['one', 'last', 'saturday', 'tell', 'go', 'enthusiast', 'night', 'rave', 'crack', 'final', 'friend', 'let', 'check']",enthusiastic friends;last saturday;saturday night;,i went;it check;enthusiastic friends;last saturday;me tell;cracked tell;,anecdotes/miscellaneous
"Place should also have a 1,2,3 chili rating to be more authentic...","['place', 'rat', 'authent', 'also', 'chili']",also have;more authentic;,place have;rating have;,anecdotes/miscellaneous
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","['wait', 'sever', 'peopl', 'thing', 'everyth', 'allow', 'servic', 'terribl', 'differ', 'ask', 'serv']",different people;same thing;,service was;we had;several ask;different people;same thing;we allowed;,service
Went last Thursday.,"['thursday', 'go', 'last']",last thursday;,last thursday;,anecdotes/miscellaneous
I love this place more and more everytime i go.,"['everytim', 'love', 'go', 'place']",i love;place more;more everytime;,i love;place love;more everytime;i go;,anecdotes/miscellaneous
I go and eat out at many different restaurants and this is one place you have go and try.,"['eat', 'one', 'place', 'tri', 'go', 'restaur', 'differ', 'mani']",many different;different restaurants;,i go;many restaurants;different restaurants;this is;you go;,anecdotes/miscellaneous
"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!","['littl', 'good', 'fill', 'peopl', 'beauti', 'bite', 'surpris', 'energi', 'food', 'overpric', 'atmospher', 'cours', 'crowd']",little crowded;bit overpriced;beautiful people;surprising good;,little crowded;atmosphere filled;beautiful people;food was;,food
"We only ordered desserts and drinks, but no refills were offered.","['dessert', 'refil', 'offer', 'drink', 'order']",only ordered;ordered desserts;,we ordered;desserts ordered;refills offered;,service
Saul is the best restaurant on Smith Street and in Brooklyn.,"['best', 'brooklyn', 'smith', 'restaur', 'saul', 'street']",best restaurant;smith street;,saul is;best restaurant;smith street;,anecdotes/miscellaneous
Waiters are slow but sweet.,"['slow', 'sweet', 'waiter']",,waiters are;,service
"I have been here a few times for dinner, once for brunch and twice for lunch.","['lunch', 'time', 'brunch', 'twice', 'dinner']",few times;,i been;few times;,anecdotes/miscellaneous
We went to Ino for Valentines.,"['valentin', 'go', 'ino']",,we went;,anecdotes/miscellaneous
"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.","['beef', 'kicker', 'real', 'cub', 'chicken', 'menu', 'howev', 'chili', 'lemon', 'grass']",real kicker;lemon grass;,real kicker;kicker is;,food
"It was good, but was not what I thought it would be.","['think', 'would', 'good']",,it was;not was;what thought;i thought;it be;,anecdotes/miscellaneous
The music is the best among all the Indian restaurants I have visited.,"['music', 'among', 'best', 'visit', 'indian', 'restaur']",indian restaurants;,music is;indian restaurants;i visited;,ambience
"The bread and lamb chops I had before the meal were quite good, however.","['lamb', 'good', 'bread', 'quit', 'meal', 'howev', 'chop']",lamb chops;quite good;,i had;meal were;,food
"He always says, I don't have customers.","['custom', 'say', 'alway']",always says;n't have;have customers;,he says;i have;n't have;customers have;,anecdotes/miscellaneous
Rao's has the best service and atmosphere in NYC.,"['best', 'servic', 'nyc', 'rao', 'atmospher']",best service;,rao has;best service;service has;,service
instead ordered an ice cold beer which to me works with indian.,"['work', 'ice', 'indian', 'instead', 'cold', 'beer', 'order']",instead ordered;,cold beer;beer ordered;which works;,anecdotes/miscellaneous
Good for dates or with friends.,"['good', 'friend', 'date']",,,anecdotes/miscellaneous
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","['ignor', 'dish', 'never', 'tabl', 'noodl', 'us', 'request', 'throw', 'repeat', 'complimentari', 'sugar', 'bring']",never brought;complimentary noodles;repeated requests;,they brought;never brought;complimentary noodles;noodles brought;repeated requests;requests ignored;dishes threw;,service
one of the best Chicken Tikka Masala.,"['tikka', 'one', 'best', 'masala', 'chicken']",best chicken;,best masala;,food
"Excellent dumplings served amid clean, chic decor.","['decor', 'clean', 'chic', 'amid', 'excel', 'serv', 'dumpl']",excellent dumplings;chic decor;,excellent dumplings;dumplings served;clean decor;chic decor;,food
"The kitchen however, is almost always slow.","['almost', 'alway', 'slow', 'kitchen', 'howev']",almost always;always slow;,kitchen is;,service
"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.","['beef', 'squar', 'pastrami', 'big', 'place', 'time', 'corn', 'around', 'excel', 'less', 'tourist', 'much', 'fatti']",corned beef;much less;less fatty;big tourist;,corned beef;beef are;excellent fatty;big places;square places;,food
"Cute place, nice wait staff but would never go there again.","['wait', 'place', 'never', 'cute', 'staff', 'go', 'nice', 'would']",cute place;nice wait;never go;there again;,cute place;nice wait;wait staff;never go;,service
We had a good time.,"['good', 'time']",good time;,we had;good time;time had;,anecdotes/miscellaneous
"Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...","['call', 'girlfriend', 'today', 'beyond', 'mention', 'us', 'thing', 'thank', 'unexpect', 'hop', 'enjoy', 'also', 'host', 'truli', 'birthday', 'come']",,hostess called;me called;us thank;she hoped;girlfriend enjoyed;unexpected her;a above;,service
people are rude bit again it's new york!,"['new', 'peopl', 'bite', 'rude', 'york']",rude bit;new york;,people are;rude bit;it 's;new york;,service
We all felt it was worth it.,"['felt', 'worth']",,we felt;it was;,price
"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.","['top', 'whole', 'sprinkl', 'place', 'get', 'spars', 'plain', 'like', 'great', 'slice']",get toppings;whole slice;not sparsely;sparsely sprinkled;,plain slice;slice is;you get;toppings get;whole slice;slice topped;not sprinkled;,food
Service was also horrible and the ambience is not that great.,"['ambienc', 'servic', 'also', 'horribl', 'great']",also horrible;,service was;ambience is;not is;,service
"Service is great, takeout is good too.","['good', 'takeout', 'great', 'servic']",,service is;takeout is;,food
"Based on the reviews on here, it appears that the restaurant is overwhelmed after the 7 PM.","['base', 'pm', 'restaur', 'overwhelm', 'appear', 'review']",,it appears;restaurant overwhelmed;,anecdotes/miscellaneous
The pizza is overpriced and soggy.,"['overpric', 'soggi', 'pizza']",,pizza overpriced;,food
"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.","['citi', 'eat', 'quit', 'everyth', 'view', 'side', 'menu', 'extens', 'excel']",quite extensive;,everything is;menu is;you eat;,food
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","['citi', 'compar', 'italian', 'least', 'doubl', 'restaur', 'still', 'pay']",least double;other italian;italian restaurant;still do;n't compare;,you pay;double pay;other restaurant;italian restaurant;most compare;n't compare;,price
"For the quality of food, a little too expensive.","['food', 'expens', 'littl', 'qualiti']",little too;too expensive;,expensive quality;,price
Came looking for this place because I heard good things.,"['good', 'place', 'look', 'thing', 'come', 'hear']",heard good;good things;,i heard;good things;things heard;,anecdotes/miscellaneous
I live on the street this place is on.,"['live', 'street', 'place']",i live;,i live;place is;,anecdotes/miscellaneous
Horrible.,['horribl'],,,anecdotes/miscellaneous
Here's to the fake fish tanks too...,"['fish', 'fake', 'tank']",here 's;fake fish;fish tanks;,fake tanks;,ambience
Its worth the wait though.,"['wait', 'though', 'worth']",,,anecdotes/miscellaneous
I've never had bad service and the fish is fresh and delicious.,"['fish', 'delici', 'never', 'fresh', 'servic', 'bad']",never had;bad service;,i had;never had;bad service;service had;fish is;,food
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","['band', 'lobster', 'take', 'time', 'go', 'salad', 'cobb', 'complet', 'first', 'live', 'atmospher', 'jazz', 'order']",first time;time i;i went;completely taken;live jazz;,first time;i went;live band;i ordered;salad ordered;,food
we decided to eat in tea room which was small and cute.,"['room', 'eat', 'small', 'cute', 'tea', 'decid']",,we decided;which was;,ambience
What an amazing meal and experience!,"['amaz', 'experi', 'meal']",amazing meal;,amazing meal;,anecdotes/miscellaneous
Unique apppetizers.,"['uniqu', 'apppet']",unique apppetizers;,unique apppetizers;,food
"The staff has always been attentive and kind, and I've always been amazed at how they've handled all the various different group sizes that come in.","['kind', 'group', 'attent', 'alway', 'variou', 'staff', 'size', 'differ', 'amaz', 'handl', 'come']",always been;i 've;always been;various different;different group;,staff been;i been;they handled;various sizes;different sizes;sizes handled;that come;,service
IT is the best deal in town for a Monday night dinner at a fine restaurant.,"['best', 'town', 'night', 'restaur', 'dinner', 'deal', 'monday', 'fine']",best deal;monday night;fine restaurant;,it is;best deal;fine restaurant;,price
Nothing special about this place.,"['noth', 'special', 'place']",nothing special;,special nothing;,anecdotes/miscellaneous
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","['sandwich', 'chip', 'near', 'side', 'anyth', 'also', 'like', 'come']",n't come;,sandwiches come;7 nearing;n't come;,price
and never strayed.,"['stray', 'never']",never strayed;,never strayed;,anecdotes/miscellaneous
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.","['wait', 'dim', 'share', 'gig', 'tabl', 'long', 'sleek', 'like', 'altern', 'typic', 'chinatown', 'atmospher', 'raucou', 'sum']",here is;n't like;sharing tables;typical raucous;raucous dim;,wait is;dim sum;you like;n't like;tables sharing;typical atmosphere;raucous atmosphere;dim sum;atmosphere is;not is;this is;chinatown alternative;,ambience
Leave the kids at home!,"['home', 'leav', 'kid']",,kids leave;,anecdotes/miscellaneous
"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.","['good', 'work', 'justifi', 'place', 'amount', 'get', 'signific', 'money', 'spend', 'indian', 'much', 'els', 'potenti', 'everywher', 'food', 'need']",good potential;significant amount;justify spending;much money;indian food;everywhere else;,place has;good potential;potential has;significant amount;amount needs;we justify;spending justify;much money;money get;indian food;you get;,anecdotes/miscellaneous
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","['cool', 'underst', 'alway', 'perfect', 'everyth', 'cook', 'servic', 'excel', 'decor']",always cooked;,everything cooked;service is;decor cool;,food
And all of that won't break your bank!,"['bank', 'break']",n't break;,all break;n't break;bank break;,price
The Thai food is good.,"['thai', 'good', 'food']",,thai food;food is;,food
Just moved to the neighborhood and we've been trying all the West Village Sushi restaurants.,"['west', 'neighborhood', 'sushi', 'tri', 'restaur', 'move', 'villag']",just moved;west village;,we trying;restaurants trying;,anecdotes/miscellaneous
"Great selection of wine, and seafood.","['seafood', 'great', 'select', 'wine']",great selection;,great selection;,food
delicious.,['delici'],,,food
Acceptable prices.,"['accept', 'price']",acceptable prices;,acceptable prices;,price
Big thumbs up!,"['thumb', 'big']",big thumbs;,big thumbs;,anecdotes/miscellaneous
we were seated at the sushi bar in front of yasuda.,"['sushi', 'front', 'yasuda', 'bar', 'seat']",,we seated;,anecdotes/miscellaneous
We have lived in Chelsea for two years and have never noticed this restaurant.,"['chelsea', 'never', 'two', 'notic', 'restaur', 'year', 'live']",never noticed;,we lived;never noticed;restaurant noticed;,anecdotes/miscellaneous
"As I made the title, it's an affordable restaurant for great taste.","['afford', 'make', 'restaur', 'tast', 'great', 'titl']",affordable restaurant;great taste;,i made;title made;it 's;affordable restaurant;great taste;,food
They even scoop it out nice (for those on a diet) not too much not to little.,"['littl', 'nice', 'scoop', 'much', 'diet', 'even']",even scoop;not too;too much;,they scoop;it scoop;not much;not to;,service
Definitely not worth the price!,"['price', 'definit', 'worth']",definitely not;,not worth;price worth;,price
"Orsay, is a very pleasnt throw back to traditional French food, and French service as well.","['well', 'orsay', 'pleasnt', 'french', 'tradit', 'throw', 'servic', 'food', 'back']",very pleasnt;pleasnt throw;traditional french;french food;french service;as well;,very pleasnt;traditional food;french food;french service;,food
It's easy to get a table for a large group and you don't get hustled out.,"['group', 'get', 'tabl', 'hustl', 'larg', 'easi']",large group;n't get;,it 's;table get;large group;you hustled;n't hustled;,service
Great food at reasonable prices.,"['food', 'great', 'price', 'reason']",great food;reasonable prices;,great food;reasonable prices;,food
Salads are a delicious way to begin the meal.,"['way', 'delici', 'salad', 'begin', 'meal']",delicious way;,salads are;delicious way;meal begin;,food
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.","['way', 'beef', 'thai', 'dish', 'tamarind', 'flavor', 'noodl', 'wife', 'duck', 'unexpect', 'evok', 'grind', 'delight', 'order']",tamarind duck;ordered noodles;thai flavors;unexpected ways;,i ordered;duck ordered;wife ordered;noodles ordered;we were;dishes evoked;thai flavors;flavors evoked;unexpected ways;,food
That's why you have to pay more for that.,['pay'],,that 's;you have;more pay;,anecdotes/miscellaneous
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"['top', 'hous', 'offer', 'along', 'view', 'river', 'idea', 'chart', 'weehawken', 'ever']",ever been;,you been;you have;idea have;house has;,anecdotes/miscellaneous
I loved it.,['love'],,i loved;it loved;,anecdotes/miscellaneous
"They're are better Taiwanese restaurants and they are located in Flushing, Queens.","['queen', 'restaur', 'flush', 'locat', 'taiwanes', 'better']",better taiwanese;taiwanese restaurants;,they 're;better restaurants;taiwanese restaurants;they located;,anecdotes/miscellaneous
The prices are about $9 for an entree for dinner and even less for lunch.,"['entre', 'lunch', 'price', 'dinner', 'less', 'even']",even less;,prices are;,price
and you can't beat the prices.,"['price', 'beat']",n't beat;,you beat;n't beat;prices beat;,price
but I wouldn't wanna live there.,"['live', 'wanna']",n't wan;na live;,i wanna;n't wanna;,anecdotes/miscellaneous
Arigato Gozimas Yuka!,"['arigato', 'gozima', 'yuka']",,arigato yuka;,anecdotes/miscellaneous
Should you happen to be impressed by the cuisine definitely try it.,"['tri', 'impress', 'cuisin', 'happen', 'definit']",definitely try;,you happen;it try;,food
"I had the black cod with yuzu sauce, which was wonderful.","['sauc', 'black', 'cod', 'yuzu', 'wonder']",black cod;,i had;black cod;cod had;which was;,food
Prices too high for this cramped and unappealing resturant.,"['cramp', 'unapp', 'price', 'high', 'restur']",too high;unappealing resturant;,high prices;resturant unappealing;,price
Tuk Tuk is one of the rare choices for me to go in Brooklyn.,"['one', 'rare', 'brooklyn', 'go', 'tuk', 'choic']",rare choices;,tuk is;rare choices;me go;,anecdotes/miscellaneous
This quiet dark asian bistro is well worth the trip.,"['bistro', 'trip', 'worth', 'dark', 'asian', 'quiet', 'well']",quiet dark;dark asian;asian bistro;,quiet bistro;dark asian;asian bistro;bistro is;,anecdotes/miscellaneous
I knew upon visiting NYC that I wanted to try an orginal deli.,"['deli', 'visit', 'know', 'tri', 'orgin', 'upon', 'want', 'nyc']",visiting nyc;orginal deli;,i knew;nyc visiting;i wanted;orginal deli;deli try;,anecdotes/miscellaneous
I would highly recommend this place!,"['recommend', 'would', 'highli', 'place']",highly recommend;,i recommend;place recommend;,anecdotes/miscellaneous
Total hipster-wannabe attitude in an otherwise sweet spot.,"['wannab', 'sweet', 'hipster', 'otherwis', 'spot', 'attitud', 'total']",total hipster-wannabe;hipster-wannabe attitude;otherwise sweet;sweet spot;,total attitude;sweet spot;,service
"Yes, there might be a wait if you have no reservations.","['wait', 'ye', 'might', 'reserv']",,you have;reservations have;,service
Thank You Emilio.,"['thank', 'emilio']",,you thank;emilio thank;,anecdotes/miscellaneous
First of all Dal Bukhara Rocks.,"['first', 'bukhara', 'rock', 'dal']",dal bukhara;,,anecdotes/miscellaneous
"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.","['wait', 'soggi', 'minut', 'deliv', 'time', 'bread', 'averag', 'food', 'salad', 'everyth', 'rude', 'servic', 'soft', 'incred']",soft bread;soggy salad;incredibly rude;rude service;average food;,everything wait;soft bread;soggy salad;rude service;service deliver;average food;,food
- i asked for them spicy and they were delicious).,"['ask', 'delici', 'spici']",,i asked;they were;,food
"It is terrific, as is the value.","['terrif', 'valu']",,it is;value is;,food
The sicilian is my favorite it is moist not dry like most places but all their pizza is great!,"['place', 'moist', 'like', 'favorit', 'great', 'dri', 'pizza', 'sicilian']",not dry;most places;,sicilian is;it is;not dry;most places;pizza is;,food
Downstairs lounge is always a good attraction,"['good', 'downstair', 'attract', 'alway', 'loung']",good attraction;,downstairs lounge;lounge is;good attraction;,ambience
The menu prices are a bit expensive for what you get in quality and portion size.,"['get', 'expens', 'bite', 'size', 'price', 'menu', 'qualiti', 'portion']",bit expensive;,prices are;what get;you get;,price
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","['prompt', 'rush', 'help', 'servic', 'bear', 'food', 'amaz']",not over-bearing;,food was;service was;not bearing;,food
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.","['deliv', 'water', 'get', 'waiter', 'offer', 'remain', 'glass', 'spend', 'anoth', 'busboy', 'pasta', 'empti', 'meal', 'wine', 'entir', 'food', 'would', 'chees', 'easili']",not waiter;entire meal;easily spent;,food delivered;not busboy;we got;cheese got;water remained;entire meal;we spent;20 spent;,service
The takeout is great too since they give high quality tupperware as well.,"['give', 'well', 'tupperwar', 'high', 'qualiti', 'takeout', 'great', 'sinc']",high quality;,takeout is;they give;high quality;tupperware give;,service
"The food was not fresh, the sauces were bland and very oily.","['sauc', 'oili', 'fresh', 'bland', 'food']",not fresh;were bland;very oily;,food was;not was;sauces were;,food
"Off the beaten path, this jewel of a restaurant shines just one block away from the plethora of 6th street Indian restaurants.","['path', 'shin', 'one', 'beat', 'plethora', 'block', 'restaur', 'away', 'jewel', 'indian', 'th', 'street']",beaten path;street indian;indian restaurants;,beaten path;jewel shines;6th restaurants;indian restaurants;,anecdotes/miscellaneous
Could be pricey without a prix fixe meal.,"['prix', 'without', 'could', 'meal', 'pricey', 'fix']",,prix meal;fixe meal;,price
This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.,"['date', 'night', 'weekend', 'spot', 'aliv', 'excel', 'ambianc', 'scene', 'definit']",excellent date;,this is;excellent date;scene is;alive than;,ambience
I would defiantly come back here again as one of my top choices.,"['top', 'defiantli', 'one', 'choic', 'would', 'back', 'come']",defiantly come;back here;here again;top choices;,i come;top choices;,anecdotes/miscellaneous
One of us actually liked the expresso - that's it.,"['one', 'us', 'expresso', 'like', 'actual']",actually liked;,one liked;expresso liked;that 's;,food
Everyone was more then happy with his choices.,"['everyon', 'choic', 'happi']",more then;then happy;,everyone was;,service
"Again, the waitress was awesome.","['awesom', 'waitress']",,waitress was;,service
Worth the trip from Manhattan.,"['manhattan', 'trip', 'worth']",,,anecdotes/miscellaneous
I loved everythig about it-especially the shows and actors.,"['everythig', 'love', 'actor', 'show', 'especi']",,i loved;everythig loved;,anecdotes/miscellaneous
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,"['fast', 'tasti', 'sauc', 'friendli', 'best', 'hot', 'meal', 'servic', 'food', 'add']",very tasty;best hot;hot sauce;,service was;food was;they had;best sauce;hot sauce;sauce had;,food
"The food was just OK, I would never go back.","['never', 'go', 'food', 'would', 'back', 'ok']",just ok;never go;,food was;i go;never go;,food
Zero ambiance to boot.,"['boot', 'zero', 'ambianc']",,,ambience
Got a little loud after 8pm when the joint got full.,"['littl', 'loud', 'get', 'pm', 'joint', 'full']",little loud;joint got;,joint got;,ambience
Scalina Fedeli reminded me why service is so integral to fine dining.,"['scalina', 'fede', 'remind', 'integr', 'servic', 'din', 'fine']",so integral;fine dining;,fedeli reminded;me reminded;service is;fine dining;,service
i recommend the thai popcorn :),"['thai', 'recommend', 'popcorn']",i recommend;,i recommend;thai popcorn;popcorn recommend;,food
I can't wait for the nex time.,"['wait', 'nex', 'time']",n't wait;nex time;,i wait;n't wait;nex time;,anecdotes/miscellaneous
"Everything looks great, the drinks, the decor, the food, even the people.","['look', 'peopl', 'everyth', 'drink', 'food', 'decor', 'great', 'even']",,everything looks;,food
As soon as my father lifted his pen from the check a chef appeared to usher us out.,"['usher', 'pen', 'soon', 'us', 'appear', 'father', 'chef', 'check', 'lift']",as soon;,father lifted;pen lifted;chef appeared;us usher;,service
The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,"['ensur', 'paratha', 'level', 'make', 'fresh', 'unsurpass', 'kebab', 'order']",ordered ensuring;,parathas made;level ensuring;that is;,food
Great neighborhood joint.,"['great', 'neighborhood', 'joint']",great neighborhood;,great joint;,anecdotes/miscellaneous
The tuna and wasabe potatoes are excellent.,"['excel', 'tuna', 'potato', 'wasab']",,potatoes are;,food
The only disappointment was the coat check girls who didn't seem to know what a customer is on a realtively non-busy night (for the coat check girls).,"['know', 'coat', 'busi', 'night', 'non', 'custom', 'seem', 'girl', 'check', 'realtiv', 'disappoint']",only disappointment;n't seem;realtively non-busy;non-busy night;check girls;,only disappointment;disappointment was;who seem;n't seem;customer is;busy night;coat check;girls check;,service
My fiance took me to Scopa last week for my birthday and I couldn't believe the food.,"['take', 'last', 'week', 'fianc', 'food', 'scopa', 'birthday', 'believ']",last week;n't believe;,fiance took;me took;last week;i believe;n't believe;food believe;,anecdotes/miscellaneous
Ummm...the beer was cold.,"['cold', 'beer', 'ummm']",,beer was;,food
I take all my NYC guests to VT's.,"['nyc', 'take', 'guest', 'vt']",nyc guests;,i take;nyc guests;guests take;,anecdotes/miscellaneous
"It is sometimes a little cramped, and can get a little warm, but hello, it's NYC!","['littl', 'sometim', 'get', 'cramp', 'hello', 'nyc', 'warm']",little cramped;little warm;,it is;little warm;it 's;,ambience
"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.","['dessert', 'hous', 'cannoli', 'best', 'includ', 'offer', 'dinner', 'drink', 'great', 'ever']",great desserts;best cannoli;ever had;,we had;great desserts;desserts had;best cannoli;i had;they offered;an offered;,food
"Good crowd, good outdoor seating, with a hip japanese vibe.","['good', 'vibe', 'japanes', 'hip', 'outdoor', 'seat', 'crowd']",good crowd;good outdoor;hip japanese;japanese vibe;,good crowd;good seating;outdoor seating;japanese vibe;,ambience
"Even with the prix fixe pricing, this restaurant is not worth it.","['prix', 'restaur', 'worth', 'price', 'fix', 'even']",not worth;,prix pricing;fixe pricing;restaurant is;not is;,anecdotes/miscellaneous
"We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.","['though', 'half', 'area', 'take', 'room', 'back', 'empti', 'hour', 'traffic', 'ask', 'practic', 'high', 'move', 'seat', 'even', 'rest']",then were;high traffic;practically empty;,we asked;which took;hour took;high area;rest was;,service
"Good to find a restaurant where the owners have some imagination and they have actually pulled it off, like in this case.","['good', 'imagin', 'case', 'restaur', 'pull', 'like', 'find', 'owner', 'actual']",actually pulled;,restaurant find;owners have;imagination have;they pulled;it pulled;,anecdotes/miscellaneous
"However, their popularity has yet to slow down, and I still find myself drawn to their ambiance and delectable reputation.","['ambianc', 'popular', 'slow', 'howev', 'draw', 'find', 'yet', 'still', 'delect', 'reput']",still find;delectable reputation;,popularity has;i find;myself drawn;delectable reputation;,anecdotes/miscellaneous
"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.","['know', 'murki', 'restaur', 'life', 'part', 'tank', 'display', 'look', 'brunch', 'glass', 'marin', 'creatur', 'yet', 'healthi', 'clear', 'water', 'ping', 'lurk', 'sad', 'chinatown', 'sum', 'dim', 'lover', 'myriad']",other chinatown;chinatown restaurants;lurking myriad;sad-looking marine;marine life;healthy-looking creatures;not yet;yet know;be part;sum lover;,tanks display;other restaurants;chinatown restaurants;lurking myriad;myriad display;looking life;marine life;murky waters;tanks are;looking creatures;who know;not know;they be;dim lover;,food
"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.","['dessert', 'salti', 'wast', 'poor', 'calori', 'servic', 'halibut']",too salty;so so;n't waste;,halibut was;dessert was;n't waste;any waste;service was;,food
"The view is spectacular, and the food is great.","['food', 'great', 'spectacular', 'view']",,view is;food is;,food
"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door.","['kind', 'place', 'soon', 'get', 'door', 'line', 'boyfriend', 'hard', 'food', 'find', 'reach', 'pack']",n't too;too hard;was kind;as soon;,place was;n't was;it was;i got;food got;line reached;door reached;,anecdotes/miscellaneous
Good bagels and good cream cheese.,"['cream', 'good', 'chees', 'bagel']",good bagels;good cream;,good bagels;good cheese;,food
"The food is wonderful, tasty and filling, and the service is professional and friendly.","['tasti', 'friendli', 'fill', 'servic', 'profession', 'food', 'wonder']",,food is;service is;,food
It is also extremely well priced.,"['price', 'extrem', 'also', 'well']",also extremely;extremely well;well priced;,it is;,price
Always great service!,"['great', 'servic', 'alway']",always great;great service;,great service;,service
I am happy i did the food was awsome.,"['food', 'awsom', 'happi']",happy i;,i am;i did;food was;,food
I have been in many restaurants all over the city and Roth's Steakhouse has quickly become one of my favorites.,"['citi', 'one', 'restaur', 'steakhous', 'becom', 'favorit', 'quickli', 'roth', 'mani']",many restaurants;quickly become;,i been;many restaurants;steakhouse become;,anecdotes/miscellaneous
"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.","['small', 'get', 'bone', 'chicken', 'dark', 'piec', 'meat', 'casserol', 'order']",few small;small pieces;dark meat;,we ordered;casserole ordered;what got;we got;few pieces;small pieces;dark meat;,food
A bit breezy up there on the mezzanine from the wind coming from the tracks.,"['breezi', 'track', 'wind', 'bite', 'mezzanin', 'come']",,,anecdotes/miscellaneous
I went to DF for Valentines Day dinner.,"['go', 'day', 'df', 'dinner', 'valentin']",i went;,i went;,anecdotes/miscellaneous
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.","['fish', 'drunken', 'certainli', 'recommend', 'stir', 'crab', 'chicken', 'soupi', 'fri', 'jelli', 'blue', 'dumpl']",i recommend;jelly fish;drunken chicken;soupy dumplings;fry blue;blue crab;,i recommend;jelly fish;fish recommend;drunken chicken;stir crab;fry crab;blue crab;,food
I LOVED THE SHOWS.,"['love', 'show']",,i loved;shows loved;,anecdotes/miscellaneous
"and i have been around the block, to say the very least.","['around', 'block', 'least', 'say']",very least;,i been;,anecdotes/miscellaneous
We could have made a meal of the yummy dumplings from the dumpling menu.,"['make', 'could', 'meal', 'menu', 'yummi', 'dumpl']",yummy dumplings;dumpling menu;,we made;meal made;yummy dumplings;dumpling menu;,food
The aesthetics of this place are like an airport lounge.,"['place', 'airport', 'loung', 'like', 'aesthet']",,aesthetics are;,ambience
"Then, get ripped on free box wine.","['free', 'box', 'get', 'wine', 'rip']",free box;,free wine;,food
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,"['eat', 'wife', 'week', 'rave', 'rant', 'food', 'earlier', 'stop']",i ate;here earlier;not stopped;,wife ate;not stopped;,food
