reviews,lemmas,aspectCategory
The food there are sastifying.,"['food', 'sastifi']",food
I highly recommend to anyone to give this place a try.,"['anyon', 'tri', 'recommend', 'highli', 'place', 'give']",anecdotes/miscellaneous
I highly recommend visiting this restaurant and having dinner and drinks!,"['restaur', 'drink', 'recommend', 'visit', 'dinner', 'highli']",anecdotes/miscellaneous
The bar is very well stocked with interesting beers and well priced wines.,"['interest', 'beer', 'win', 'stock', 'bar', 'price', 'well']",food
I agree.,['agre'],anecdotes/miscellaneous
"Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).","['weekend', 'interest', 'day', 'make', 'tri', 'last', 'close', 'tell', 'reserv', 'memori']",anecdotes/miscellaneous
The food was good.,"['food', 'good']",food
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","['select', 'great', 'hous', 'valu', 'worth', 'champagn', 'price', 'wine', 'gigonda']",food
"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.","['also', 'play', 'els', 'luxuri', 'hard', 'everyon', 'background', 'music', 'night', 'convers', 'volumin', 'compet', 'hear']",ambience
It just wasn't Thai.,['thai'],anecdotes/miscellaneous
I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.,"['fresh', 'fish', 'great', 'everyth', 'enjoy', 'prepar', 'ever', 'get', 'alway', 'way']",food
I particularly love their yellowfun tuna and their mussel selection.,"['tuna', 'select', 'mussel', 'yellowfun', 'love', 'particularli']",food
I love to visit Murrays for my bagel fix.,"['bagel', 'love', 'visit', 'fix', 'murray']",anecdotes/miscellaneous
"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.","['lot', 'thoroughli', 'make', 'impress', 'grandfath', 'school', 'earli', 'remind', 'italian', 'old', 'sceneri', 'dinner', 'fun', 'reserv', 'stuff', 'admir']",ambience
Recommended.,['recommend'],anecdotes/miscellaneous
The place was nice and calm.,"['place', 'calm', 'nice']",ambience
Cheese plate is a varied delight and great bargain at $10.,"['chees', 'vari', 'bargain', 'delight', 'plate', 'great']",food
I could have drank 4 glasses of water and still been parched - so watch out.,"['parch', 'water', 'drink', 'still', 'watch', 'glass', 'could']",food
"When we sat, we got great and fast service.","['get', 'sit', 'fast', 'servic', 'great']",service
"Most of the servers are very attentive, friendly and quite attractive.","['attract', 'server', 'attent', 'quit', 'friendli']",service
I think locals rate this place so high.,"['high', 'local', 'rate', 'think', 'place']",anecdotes/miscellaneous
Service is average.,"['averag', 'servic']",service
But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).,"['tradit', 'nice', 'tomato', 'special', 'like', 'flat', 'pizzeria', 'less', 'fave', 'plu', 'offer', 'oil', 'typic', 'realli', 'sauc', 'usual', 'terrif', 'do', 'godmoth', 'pizza', 'job', 'brush', 'sort', 'oliv', 'crust']",food
Go girls!!!,"['girl', 'go']",anecdotes/miscellaneous
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","['hummu', 'sandwich', 'forget', 'platter', 'includ', 'fork', 'pita', 'plastic']",service
"The steak is good, the fish is good and the sushi was surprisingly great.","['fish', 'steak', 'sushi', 'good', 'surprisingli', 'great']",food
"For asian fusion, there are many places further downtown.","['fusion', 'downtown', 'asian', 'mani', 'place']",anecdotes/miscellaneous
Old school meets New world.,"['school', 'world', 'new', 'meet', 'old']",anecdotes/miscellaneous
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,"['would', 'overcrowd', 'becom', 'pizza', 'jem', 'write', 'reluct', 'place', 'want']",anecdotes/miscellaneous
"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.","['mcdonald', 'would', 'joint', 'attent', 'rather', 'light', 'poor', 'poorli', 'servic', 'eat', 'restaur', 'staff']",service
This is probably one of my new favorite places.,"['probabl', 'new', 'favorit', 'one', 'place']",anecdotes/miscellaneous
"For being number 1, this place has alot of work to do in order to truly earn its so called reputation.","['earn', 'alot', 'order', 'number', 'truli', 'call', 'place', 'reput', 'work']",anecdotes/miscellaneous
"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.","['prefer', 'quiter', 'smaller', 'occass', 'would', 'go', 'famili', 'celebr', 'restaur']",anecdotes/miscellaneous
The one on the east side is much better than the one on the west side.,"['side', 'much', 'east', 'west', 'better', 'one']",anecdotes/miscellaneous
They all know you.,['know'],service
"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.","['lot', 'choos', 'chill', 'decent', 'cocktail', 'sushi', 'gf', 'still', 'eat', 'divers', 'decor']",food
We ended the dinner with a surprisingly light and flaky apple tarte tatin.,"['tart', 'flaki', 'light', 'tatin', 'appl', 'dinner', 'end', 'surprisingli']",food
The buffet had a nice selection.,"['select', 'buffet', 'nice']",food
Waitstaff are very friendly.,"['friendli', 'waitstaff']",service
This restaurant is such a great place.,"['restaur', 'place', 'great']",anecdotes/miscellaneous
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","['miracul', 'parisian', 'step', 'path', 'beat', 'cosett', 'bistro', 'small']",ambience
I've been several times and am totally smitten.,"['time', 'total', 'smite', 'sever']",anecdotes/miscellaneous
Terrible experience.,"['experi', 'terribl']",anecdotes/miscellaneous
I love the place.,"['love', 'place']",anecdotes/miscellaneous
Service was slow had to wait to order and get food although not crowded.,"['food', 'slow', 'crowd', 'wait', 'although', 'get', 'order', 'servic']",service
Will have to return to try the chocolate!,"['tri', 'return', 'chocol']",anecdotes/miscellaneous
"It's only $1.95 for a regular slice and $4.00 for a slice with a mushroom, not mushrooms.","['regular', 'mushroom', 'slice']",price
There is a real gallery of stars that have visited.,"['galleri', 'star', 'visit', 'real']",ambience
"The food was below average, the service was pathetic, there was no ambience at all.","['food', 'ambienc', 'pathet', 'servic', 'averag']",food
I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.,"['put', 'actor', 'enjoy', 'realli', 'show']",ambience
Our first time in New York and we had to try a New York Bagel.,"['tri', 'york', 'new', 'bagel', 'time', 'first']",anecdotes/miscellaneous
service was efficient courteous.,"['effici', 'servic', 'courteou']",service
this one is definintely my least favorite.,"['one', 'definint', 'favorit', 'least']",anecdotes/miscellaneous
I have been urged by friends for months to check out the mermaid inn.,"['month', 'inn', 'urg', 'mermaid', 'friend', 'check']",anecdotes/miscellaneous
The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,"['lack', 'fish', 'prepar', 'miso', 'past', 'soup', 'flavor', 'unfortun', 'well']",food
"Everytime my husband and I go there, we are never disappointed.","['husband', 'go', 'never', 'everytim', 'disappoint']",anecdotes/miscellaneous
They are the best bagels I've had.,"['bagel', 'best']",food
We were not disappointed.,['disappoint'],anecdotes/miscellaneous
I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,"['appreci', 'food', 'peopl', 'review', 'new', 'ambienc', 'read', 'either', 'preview', 'yorker']",anecdotes/miscellaneous
"Toons has recently been redone, so it's now a very attractive space.","['attract', 'recent', 'space', 'toon', 'redo']",ambience
"$160 for 2 filets, 2 sides, an appetizer and drinks.","['side', 'filet', 'appet', 'drink']",food
"While the prices are nothing special, the portions are huge.","['special', 'portion', 'price', 'huge', 'noth']",price
"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time.","['nice', 'go', 'talk', 'abl', 'quiet', 'meal', 'relax', 'eat', 'locat', 'time', 'good']",ambience
"We arrived for dinner expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!","['arriv', 'impress', 'past', 'expect', 'dinner', 'place']",anecdotes/miscellaneous
"However, I think this place is a good hang out spot.","['spot', 'think', 'howev', 'hang', 'place', 'good']",ambience
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.","['food', 'per', 'person', 'prix', 'prepar', 'spend', 'worth', 'fix', 'least', 'menu', 'itsuperb', 'well']",price
"Rao is a good restaurant, but it's nothing special.","['special', 'rao', 'restaur', 'good', 'noth']",anecdotes/miscellaneous
The wine list is extensive and impressive.,"['wine', 'list', 'impress', 'extens']",food
We had the most wonderful waitress.,"['wonder', 'waitress']",service
"While the staff at this little bistro is very friendly, I have never experienced more incompetency.","['never', 'littl', 'experi', 'bistro', 'friendli', 'incompet', 'staff']",service
The quail was fantastic and unique and the pastas were full of flavor.,"['uniqu', 'quail', 'pasta', 'flavor', 'full', 'fantast']",food
"When we left at 8:00 PM, it was packed and noisy.","['leav', 'pack', 'pm', 'noisi']",anecdotes/miscellaneous
"Okay, so I never write but there doesn't seem to fair balance of positive to negative reviews concerning Green Bo and it's time to speak up - I live in Chinatown.","['bo', 'neg', 'speak', 'fair', 'posit', 'never', 'balanc', 'okay', 'review', 'green', 'live', 'write', 'concern', 'chinatown', 'time', 'seem']",anecdotes/miscellaneous
The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,"['zucchini', 'mouth', 'mash', 'butter', 'blend', 'simpli', 'melt', 'potato', 'garlic']",food
The staff is courteous and friendly.,"['courteou', 'friendli', 'staff']",service
Never fails to please.,"['never', 'pleas', 'fail']",anecdotes/miscellaneous
Decor is nice though service can be spotty.,"['spotti', 'nice', 'servic', 'decor', 'though']",service
"Aside from the rushed service, we were very impressed with the food and the drinks.","['food', 'rush', 'impress', 'drink', 'asid', 'servic']",food
Will absolutely visit again.,"['visit', 'absolut']",anecdotes/miscellaneous
Make sure you have the Spicy Scallop roll.. .,"['make', 'roll', 'spici', 'scallop', 'sure']",food
I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.,"['would', 'anyon', 'definit', 'valu', 'indian', 'recommend', 'din', 'look', 'highli', 'place', 'dollar', 'fine', 'experi']",anecdotes/miscellaneous
And even with it's Pub atmosphere they were great to my kids too!,"['pub', 'even', 'atmospher', 'kid', 'great']",ambience
This big draw is the all you can sushi here for $19.95!,"['draw', 'sushi', 'big']",price
I consider the best Grand Sichuan restaurant in NYC.,"['consid', 'grand', 'nyc', 'sichuan', 'best', 'restaur']",anecdotes/miscellaneous
we spent 50 $$ definetly will come back with my friends!!!,"['definetli', 'come', 'spend', 'back', 'friend']",anecdotes/miscellaneous
Went to Village last night for my birthday.,"['go', 'villag', 'last', 'night', 'birthday']",anecdotes/miscellaneous
"Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.","['ignor', 'talk', 'skip', 'custom', 'order', 'femal', 'time', 'worker']",service
The specials are usually quite good too.,"['quit', 'good', 'special', 'usual']",food
They've the best desserts and mixed drinks as well as snack foods.,"['food', 'snack', 'dessert', 'drink', 'mix', 'best', 'well']",food
Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.,"['warm', 'mud', 'tri', 'chocol', 'lech', 'scoop', 'cake', 'gelato', 'dulc', 'de']",food
That's good and bad.,"['good', 'bad']",anecdotes/miscellaneous
Really cool stauff inside.,"['insid', 'stauff', 'cool', 'realli']",ambience
"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.","['furnitur', 'attract', 'make', 'classic', 'featur', 'much', 'new', 'still', 'overhaul', 'menu', 'tiffin', 'restaur']",anecdotes/miscellaneous
The best burger I have had in the Village.,"['villag', 'burger', 'best']",food
We visited Orsay during NY Restaurant Week and tried their $35 menu.,"['tri', 'ny', 'week', 'orsay', 'visit', 'menu', 'restaur']",anecdotes/miscellaneous
I would have gotten some cole slaw and a knish if my stomach had more space.,"['would', 'stomach', 'get', 'space', 'slaw', 'knish', 'cole']",food
"came here for restaurant week, didn't save much, but it was still great.","['much', 'week', 'come', 'still', 'restaur', 'save', 'great']",anecdotes/miscellaneous
Would NEVER go back there.,"['never', 'back', 'would', 'go']",anecdotes/miscellaneous
Three of us arrived for dinner about 5:30 on a week night without reservations.,"['arriv', 'three', 'week', 'us', 'night', 'dinner', 'reserv', 'without']",anecdotes/miscellaneous
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.","['blond', 'excel', 'wood', 'sooth', 'sake', 'servic', 'decor', 'premium', 'great']",food
There is usually a wait but it is well worth it.,"['worth', 'well', 'wait', 'usual']",anecdotes/miscellaneous
"Be careful, when they say spicy, they mean it!","['say', 'spici', 'mean', 'care']",anecdotes/miscellaneous
Your money could easily be better spent elsewhere (Anywhere).,"['money', 'anywher', 'easili', 'spend', 'better', 'elsewher', 'could']",anecdotes/miscellaneous
"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.","['make', 'drawback', 'toast', 'bagel', 'egg']",service
As always we had a great glass of wine while we waited.,"['wait', 'great', 'glass', 'wine', 'alway']",food
Bring your appetites.,"['bring', 'appetit']",anecdotes/miscellaneous
"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).","['wait', 'way', 'pleasant', 'gorgeou', 'cuter', 'b', 'aesthet', 'beautif', 'wonder', 'fun', 'part', 'staff']",service
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?","['lack', 'hour', 'atmospher', 'bagel', 'expect', 'cours', 'anyway', 'place']",ambience
Service was very good and warm.,"['good', 'warm', 'servic']",service
For dinner I had the chicken tikka-masala and some garlic naan.,"['chicken', 'tikka', 'masala', 'dinner', 'naan', 'garlic']",food
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,"['side', 'broadway', 'nyc', 'set', 'street', 'like', 'west', 'cornelia', 'stori', 'look', 'cool', 'top', 'romant', 'realli', 'dinner', 'quaint', 'insid', 'po']",ambience
"Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait.","['say', 'other', 'ye', 'make', 'wait', 'like', 'busi', 'expect', 'romant', 'nite', 'may', 'restaur', 'requir']",ambience
"Seriously, this place kicks ass.","['kick', 'serious', 'place', 'ass']",anecdotes/miscellaneous
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,"['food', 'even', 'day', 'terrif', 'go', 'raini', 'york', 'new', 'like', 'citi', 'foggi', 'skilin', 'good', 'view']",food
"Also, because it is so thin, it gets cold very quickly and its not that filling.","['also', 'cold', 'fill', 'get', 'quickli', 'thin']",food
The food is nothing like its menu description.,"['food', 'like', 'descript', 'menu', 'noth']",food
Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.,"['chicken', 'cashew', 'se', 'tri', 'memor', 'pad', 'repeat', 'ew', 'nut', 'experi']",food
It's just O.K. pizza.,"['pizza', 'k']",food
I loved it and would HIGHLY RECOMMEND.,"['recommend', 'love', 'highli', 'would']",anecdotes/miscellaneous
I've been here twice now.,['twice'],anecdotes/miscellaneous
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.","['food', 'consid', 'decent', 'sweet', 'think', 'ambienc', 'annoy', 'matter', 'best', 'may', 'thing', 'well', 'opinion']",food
THE BEST PLACE TO BRING KIDS OR ANY FRIENDS WHO WANT TO DO SOMETHING DIFFERENT.,"['someth', 'bring', 'best', 'kid', 'place', 'friend', 'differ', 'want']",anecdotes/miscellaneous
"The service was a bit slow, but they were very friendly.","['bite', 'friendli', 'slow', 'servic']",service
"However, I do not understand the extraordinary hype about this restaurant.","['hype', 'extraordinari', 'howev', 'understand', 'restaur']",anecdotes/miscellaneous
It's a small cute restaurant.,"['cute', 'small', 'restaur']",ambience
I will be returning.,['return'],anecdotes/miscellaneous
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","['leon', 'warm', 'fare', 'villag', 'prepar', 'hip', 'casual', 'east', 'basic', 'french', 'special', 'live', 'gem', 'bistro', 'atmospher', 'good', 'well']",food
The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.,"['food', 'heartland', 'midtown', 'breweri', 'averag', 'better', 'citi', 'sligtli']",food
Thius is a must for anyone who loves Shabu-Shabu.,"['shabu', 'anyon', 'must', 'love', 'thiu']",food
The food was absolutely horrible!,"['food', 'horribl', 'absolut']",food
Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.,"['food', 'high', 'fresh', 'cook', 'appear', 'premisi', 'pretti', 'turnov']",food
Restaurant was dirty and unkempt.,"['unkempt', 'restaur', 'dirti']",ambience
Nice place though.,"['place', 'nice', 'though']",anecdotes/miscellaneous
Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,"['mizu', 'japanes', 'find', 'visit', 'warn', 'dine', 'may', 'restaur', 'difficult']",anecdotes/miscellaneous
"Similar to other Indian restaurants, they use the dinner special to attract customers at the door.","['similar', 'attract', 'use', 'special', 'indian', 'door', 'custom', 'dinner', 'restaur']",anecdotes/miscellaneous
It is a small restuarant so go early and it will be nice and quiet- go late and it will be packed!,"['pack', 'nice', 'go', 'restuar', 'quiet', 'earli', 'late', 'small']",ambience
"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.","['food', 'speak', 'point', 'peopl', 'understand', 'cart', 'job', 'english', 'give', 'delici']",anecdotes/miscellaneous
"The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.","['cheap', 'mani', 'salad', 'disast', 'calamari', 'dress', 'crackl', 'restaur', 'crispi', 'lightli', 'usual']",food
"Not the greatest sushi place, but excellent for a $19.95 all you can eat.","['excel', 'sushi', 'eat', 'greatest', 'place']",food
"Shockingly easy to throw a group dinner here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.","['entir', 'simpl', 'deposit', 'nd', 'grp', 'mezz', 'easi', 'contract', 'hold', 'group', 'throw', 'dinner', 'date', 'fl', 'shockingli']",anecdotes/miscellaneous
The Thai ice tea was amazingly smooth and yummy!,"['yummi', 'smooth', 'thai', 'amazingli', 'ice', 'tea']",food
We've never had any problems with the staff but maybe we've been lucky?,"['never', 'mayb', 'lucki', 'problem', 'staff']",service
Drinks way over priced.,"['way', 'price', 'drink']",price
The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,"['downsid', 'constantli', 'level', 'nois', 'main', 'complain', 'like', 'nazi', 'run', 'place', 'guy']",service
What I didn't like was how the food came right after it was ordered.,"['food', 'come', 'like', 'order', 'right']",food
"But WARNING: to all those that use this site be weary, be very weary of recommendations.","['use', 'recommend', 'warn', 'weari', 'site']",anecdotes/miscellaneous
Moderate prices.,"['price', 'moder']",price
We had a great time at the Jekyll and hyde Pub last night.,"['pub', 'last', 'night', 'hyde', 'time', 'jekyl', 'great']",anecdotes/miscellaneous
Try it side by side and there's no comparison.,"['tri', 'side', 'comparison']",anecdotes/miscellaneous
I think I've had some the best meals of my life at minnow.,"['meal', 'think', 'life', 'best', 'minnow']",food
My biggest complaint was the un-tasty food although presented well.,"['food', 'although', 'complaint', 'present', 'biggest', 'tasti', 'well', 'un']",food
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.","['cozi', 'certain', 'parisian', 'tini', 'get', 'restaur', 'flair']",ambience
So sorry I can't rate this better.,"['rate', 'sorri', 'better']",anecdotes/miscellaneous
"Most importantly, food is excellent.","['food', 'importantli', 'excel']",food
Buon appetito!,"['appetito', 'buon']",anecdotes/miscellaneous
"Great roofdeck, nice group of 30 somethings, but no music, kind of quiet.","['kind', 'someth', 'nice', 'quiet', 'roofdeck', 'group', 'music', 'great']",ambience
"If we were to move from the upper east side, we would genuinely miss this restaurant.","['upper', 'side', 'would', 'genuin', 'miss', 'east', 'move', 'restaur']",anecdotes/miscellaneous
"The best part of the experience was knowing that the manager (a bubbly, friendly young woman with a great smile) truly cared about how we were doing.","['care', 'manag', 'smile', 'young', 'friendli', 'know', 'best', 'truli', 'woman', 'part', 'bubbl', 'great', 'experi']",service
"Ok, for all of us growing up in the Village of NYC, we have spoiled by a plethora of restaurants, most of which stay open very late.","['nyc', 'spoil', 'villag', 'open', 'us', 'plethora', 'ok', 'grow', 'late', 'restaur', 'stay']",anecdotes/miscellaneous
"However, service was as plain as sesame crusted Salmon I had.","['sesam', 'plain', 'howev', 'servic', 'salmon', 'crust']",service
I would highly recommend it.,"['recommend', 'highli', 'would']",anecdotes/miscellaneous
It's great to go for a quick lunch either alone or with a friend.,"['lunch', 'great', 'go', 'either', 'alon', 'friend', 'quick']",anecdotes/miscellaneous
The food was mediocre at best but it was the horrible service that made me vow never to go back.,"['food', 'make', 'go', 'never', 'mediocr', 'vow', 'horribl', 'back', 'servic', 'best']",food
LLOOVVE THIS PLACE.,"['lloovv', 'place']",anecdotes/miscellaneous
So some of the reviews here are accurate about the crowd and noise.,"['crowd', 'nois', 'accur', 'review']",anecdotes/miscellaneous
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.","['logic', 'grab', 'cheap', 'pay', 'beauti', 'get', 'drink', 'set', 'mind', 'eat', 'spice', 'place', 'great']",food
"Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.","['enthusiast', 'go', 'last', 'rave', 'crack', 'let', 'night', 'tell', 'saturday', 'one', 'friend', 'final', 'check']",anecdotes/miscellaneous
"Place should also have a 1,2,3 chili rating to be more authentic...","['rat', 'also', 'chili', 'authent', 'place']",anecdotes/miscellaneous
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","['wait', 'everyth', 'sever', 'terribl', 'ask', 'peopl', 'serv', 'servic', 'thing', 'differ', 'allow']",service
Went last Thursday.,"['last', 'thursday', 'go']",anecdotes/miscellaneous
I love this place more and more everytime i go.,"['love', 'place', 'everytim', 'go']",anecdotes/miscellaneous
I go and eat out at many different restaurants and this is one place you have go and try.,"['go', 'tri', 'mani', 'one', 'eat', 'restaur', 'place', 'differ']",anecdotes/miscellaneous
"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!","['crowd', 'food', 'bite', 'littl', 'fill', 'atmospher', 'energi', 'beauti', 'peopl', 'cours', 'surpris', 'good', 'overpric']",food
"We only ordered desserts and drinks, but no refills were offered.","['dessert', 'drink', 'order', 'refil', 'offer']",service
Saul is the best restaurant on Smith Street and in Brooklyn.,"['brooklyn', 'street', 'smith', 'saul', 'best', 'restaur']",anecdotes/miscellaneous
Waiters are slow but sweet.,"['waiter', 'slow', 'sweet']",service
"I have been here a few times for dinner, once for brunch and twice for lunch.","['brunch', 'lunch', 'twice', 'dinner', 'time']",anecdotes/miscellaneous
We went to Ino for Valentines.,"['valentin', 'ino', 'go']",anecdotes/miscellaneous
"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.","['chicken', 'real', 'beef', 'cub', 'chili', 'howev', 'lemon', 'menu', 'kicker', 'grass']",food
"It was good, but was not what I thought it would be.","['good', 'think', 'would']",anecdotes/miscellaneous
The music is the best among all the Indian restaurants I have visited.,"['among', 'indian', 'visit', 'music', 'best', 'restaur']",ambience
"The bread and lamb chops I had before the meal were quite good, however.","['chop', 'meal', 'lamb', 'quit', 'howev', 'good', 'bread']",food
"He always says, I don't have customers.","['say', 'custom', 'alway']",anecdotes/miscellaneous
Rao's has the best service and atmosphere in NYC.,"['nyc', 'atmospher', 'rao', 'servic', 'best']",service
instead ordered an ice cold beer which to me works with indian.,"['beer', 'cold', 'instead', 'indian', 'order', 'ice', 'work']",anecdotes/miscellaneous
Good for dates or with friends.,"['good', 'date', 'friend']",anecdotes/miscellaneous
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","['request', 'never', 'tabl', 'complimentari', 'bring', 'repeat', 'us', 'dish', 'throw', 'ignor', 'noodl', 'sugar']",service
one of the best Chicken Tikka Masala.,"['chicken', 'tikka', 'masala', 'best', 'one']",food
"Excellent dumplings served amid clean, chic decor.","['excel', 'amid', 'dumpl', 'clean', 'serv', 'chic', 'decor']",food
"The kitchen however, is almost always slow.","['slow', 'kitchen', 'howev', 'almost', 'alway']",service
"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.","['beef', 'excel', 'much', 'pastrami', 'around', 'corn', 'big', 'squar', 'time', 'place', 'less', 'fatti', 'tourist']",food
"Cute place, nice wait staff but would never go there again.","['wait', 'nice', 'would', 'never', 'go', 'cute', 'place', 'staff']",service
We had a good time.,"['time', 'good']",anecdotes/miscellaneous
"Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...","['birthday', 'also', 'mention', 'unexpect', 'enjoy', 'come', 'thing', 'us', 'beyond', 'today', 'girlfriend', 'truli', 'call', 'host', 'hop', 'thank']",service
people are rude bit again it's new york!,"['rude', 'bite', 'peopl', 'york', 'new']",service
We all felt it was worth it.,"['worth', 'felt']",price
"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.","['whole', 'plain', 'get', 'sprinkl', 'like', 'top', 'slice', 'place', 'spars', 'great']",food
Service was also horrible and the ambience is not that great.,"['also', 'horribl', 'ambienc', 'servic', 'great']",service
"Service is great, takeout is good too.","['takeout', 'good', 'servic', 'great']",food
"Based on the reviews on here, it appears that the restaurant is overwhelmed after the 7 PM.","['overwhelm', 'base', 'appear', 'review', 'pm', 'restaur']",anecdotes/miscellaneous
The pizza is overpriced and soggy.,"['soggi', 'pizza', 'overpric']",food
"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.","['side', 'excel', 'everyth', 'quit', 'eat', 'extens', 'menu', 'citi', 'view']",food
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","['compar', 'pay', 'italian', 'still', 'doubl', 'least', 'citi', 'restaur']",price
"For the quality of food, a little too expensive.","['food', 'expens', 'littl', 'qualiti']",price
Came looking for this place because I heard good things.,"['come', 'look', 'thing', 'place', 'good', 'hear']",anecdotes/miscellaneous
I live on the street this place is on.,"['live', 'place', 'street']",anecdotes/miscellaneous
Horrible.,['horribl'],anecdotes/miscellaneous
Here's to the fake fish tanks too...,"['tank', 'fake', 'fish']",ambience
Its worth the wait though.,"['worth', 'wait', 'though']",anecdotes/miscellaneous
I've never had bad service and the fish is fresh and delicious.,"['fresh', 'fish', 'never', 'bad', 'servic', 'delici']",food
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","['take', 'jazz', 'band', 'go', 'complet', 'atmospher', 'live', 'order', 'salad', 'cobb', 'lobster', 'time', 'first']",food
we decided to eat in tea room which was small and cute.,"['decid', 'room', 'cute', 'eat', 'small', 'tea']",ambience
What an amazing meal and experience!,"['amaz', 'meal', 'experi']",anecdotes/miscellaneous
Unique apppetizers.,"['uniqu', 'apppet']",food
"The staff has always been attentive and kind, and I've always been amazed at how they've handled all the various different group sizes that come in.","['amaz', 'kind', 'attent', 'variou', 'come', 'size', 'group', 'handl', 'differ', 'alway', 'staff']",service
IT is the best deal in town for a Monday night dinner at a fine restaurant.,"['monday', 'dinner', 'night', 'best', 'town', 'restaur', 'deal', 'fine']",price
Nothing special about this place.,"['place', 'noth', 'special']",anecdotes/miscellaneous
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","['side', 'also', 'sandwich', 'come', 'like', 'anyth', 'chip', 'near']",price
and never strayed.,"['never', 'stray']",anecdotes/miscellaneous
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.","['long', 'sum', 'wait', 'share', 'tabl', 'altern', 'raucou', 'gig', 'typic', 'like', 'dim', 'atmospher', 'sleek', 'chinatown']",ambience
Leave the kids at home!,"['kid', 'leav', 'home']",anecdotes/miscellaneous
