lemmas,bigrams
"['bad', 'good']",
"['insid', 'stauff', 'realli', 'cool']",really cool;cool stauff;
"['restaur', 'furnitur', 'new', 'much', 'attract', 'featur', 'classic', 'make', 'menu', 'overhaul', 'tiffin', 'still']",new restaurant;still features;same classical;classical furniture;made tiffin;so attractive;
"['villag', 'burger', 'best']",best burger;
"['restaur', 'visit', 'orsay', 'week', 'menu', 'ny', 'tri']",ny restaurant;
"['stomach', 'get', 'space', 'knish', 'cole', 'would', 'slaw']",cole slaw;more space;
"['come', 'restaur', 'much', 'week', 'still', 'save', 'great']",n't save;still great;
"['go', 'would', 'back', 'never']",never go;back there;
"['without', 'reserv', 'three', 'week', 'night', 'dinner', 'arriv', 'us']",
"['premium', 'decor', 'blond', 'excel', 'servic', 'sooth', 'sake', 'wood', 'great']",very soothing;premium sake;
"['worth', 'usual', 'wait', 'well']",well worth;
"['mean', 'spici', 'say', 'care']",say spicy;
"['easili', 'could', 'money', 'spend', 'anywher', 'better', 'elsewher']",easily be;better spent;
"['drawback', 'make', 'egg', 'bagel', 'toast']",n't toast;n't make;make eggs;
"['alway', 'wait', 'glass', 'wine', 'great']",great glass;
"['appetit', 'bring']",
"['pleasant', 'part', 'wonder', 'staff', 'b', 'wait', 'way', 'gorgeou', 'aesthet', 'fun', 'cuter', 'beautif']",wait staff;most part;part gorgeous;wonderful aesthetic;aesthetic beautification;she's-way-cuter-than-me-that-b @;* way;
"['atmospher', 'lack', 'hour', 'expect', 'cours', 'bagel', 'place', 'anyway']",
"['servic', 'good', 'warm']",very good;
"['tikka', 'garlic', 'chicken', 'masala', 'dinner', 'naan']",chicken tikka-masala;garlic naan;
"['broadway', 'like', 'look', 'cornelia', 'po', 'quaint', 'set', 'insid', 'top', 'romant', 'dinner', 'stori', 'cool', 'realli', 'street', 'west', 'nyc', 'side']",cornelia street;west side;so cool;cool quaint;n't top;romantic dinner;
"['may', 'like', 'restaur', 'busi', 'make', 'ye', 'say', 'expect', 'requir', 'wait', 'romant', 'other', 'nite']",n't expect;busy restaurant;
"['place', 'serious', 'ass', 'kick']",kicks ass;
"['foggi', 'like', 'terrif', 'new', 'view', 'day', 'york', 'go', 'skilin', 'even', 'raini', 'good', 'citi', 'food']",new york;foggy rainy;rainy day;i went;
"['get', 'cold', 'also', 'quickli', 'thin', 'fill']",so thin;very quickly;
"['like', 'noth', 'descript', 'menu', 'food']",is nothing;
"['repeat', 'ew', 'memor', 'chicken', 'nut', 'pad', 'tri', 'cashew', 'experi', 'se']",pad se-ew;repeatable experience;
"['k', 'pizza']",just o.k;
"['would', 'love', 'highli', 'recommend']",highly recommend;
['twice'],here twice;twice now;
"['may', 'decent', 'sweet', 'best', 'matter', 'think', 'opinion', 'consid', 'well', 'food', 'ambienc', 'thing', 'annoy']",sweet thing;just annoying;
"['best', 'want', 'bring', 'friend', 'differ', 'kid', 'place', 'someth']",best place;bring kids;do something;something different;
"['bite', 'friendli', 'servic', 'slow']",bit slow;very friendly;
"['extraordinari', 'restaur', 'hype', 'howev', 'understand']",not understand;extraordinary hype;
"['small', 'cute', 'restaur']",small cute;
['return'],
"['villag', 'bistro', 'warm', 'atmospher', 'casual', 'prepar', 'east', 'live', 'leon', 'well', 'fare', 'good', 'basic', 'hip', 'special', 'gem', 'french']",east village;well prepared;prepared basic;basic french;french bistro;good specials;lively atmosphere;
"['breweri', 'averag', 'heartland', 'better', 'citi', 'sligtli', 'food', 'midtown']",above average;sligtly better;other heartland;
"['anyon', 'thiu', 'shabu', 'must', 'love']",loves shabu-shabu;
"['horribl', 'food', 'absolut']",absolutely horrible;
"['turnov', 'fresh', 'high', 'pretti', 'food', 'premisi', 'appear', 'cook']",n't appear;high turnover;
"['unkempt', 'dirti', 'restaur']",
"['nice', 'place', 'though']",nice place;
"['may', 'find', 'dine', 'restaur', 'warn', 'visit', 'mizu', 'japanes', 'difficult']",other japanese;japanese restaurants;
"['restaur', 'custom', 'similar', 'attract', 'door', 'dinner', 'indian', 'use', 'special']",other indian;indian restaurants;dinner special;attract customers;
"['small', 'late', 'nice', 'earli', 'quiet', 'go', 'pack', 'restuar']",small restuarant;so go;quiet- go;
"['english', 'point', 'delici', 'peopl', 'speak', 'give', 'job', 'cart', 'food', 'understand']",n't understand;n't speak;delicious food;
"['usual', 'restaur', 'disast', 'salad', 'lightli', 'crackl', 'dress', 'crispi', 'mani', 'calamari', 'cheap']",cheap disaster;many restaurants;lightly dressed;
"['sushi', 'excel', 'eat', 'greatest', 'place']",greatest sushi;sushi place;
"['nd', 'fl', 'date', 'contract', 'throw', 'grp', 'dinner', 'group', 'simpl', 'hold', 'deposit', 'shockingli', 'easi', 'mezz', 'entir']",shockingly easy;simple contract;
"['amazingli', 'ice', 'smooth', 'yummi', 'thai', 'tea']",amazingly smooth;
"['staff', 'mayb', 'lucki', 'problem', 'never']",never had;
"['price', 'way', 'drink']",
"['nois', 'like', 'main', 'constantli', 'complain', 'nazi', 'run', 'downsid', 'guy', 'place', 'level']",main downside;nazi-like guy;constantly complains;
"['come', 'like', 'order', 'food', 'right']",n't like;
"['weari', 'warn', 'recommend', 'use', 'site']",very weary;
"['price', 'moder']",moderate prices;
"['time', 'great', 'jekyl', 'last', 'night', 'pub', 'hyde']",great time;pub last;last night;
"['tri', 'side', 'comparison']",
"['best', 'think', 'meal', 'life', 'minnow']",i think;i 've;best meals;
"['present', 'un', 'biggest', 'well', 'food', 'although', 'complaint', 'tasti']",biggest complaint;un-tasty food;
"['get', 'restaur', 'certain', 'cozi', 'flair', 'tini', 'parisian']",tiny restaurant;as cozy;certain parisian;parisian flair;
"['sorri', 'better', 'rate']",so sorry;sorry i;
"['excel', 'food', 'importantli']",
"['appetito', 'buon']",
"['great', 'roofdeck', 'nice', 'group', 'music', 'quiet', 'kind', 'someth']",great roofdeck;nice group;
"['move', 'restaur', 'east', 'genuin', 'miss', 'would', 'upper', 'side']",upper east;east side;genuinely miss;
"['part', 'best', 'woman', 'know', 'manag', 'young', 'smile', 'truli', 'care', 'friendli', 'bubbl', 'experi', 'great']",best part;friendly young;young woman;great smile;truly cared;
"['restaur', 'plethora', 'late', 'spoil', 'stay', 'nyc', 'us', 'villag', 'open', 'grow', 'ok']",very late;
"['plain', 'sesam', 'salmon', 'crust', 'servic', 'howev']",as plain;crusted salmon;
"['would', 'highli', 'recommend']",highly recommend;
"['alon', 'lunch', 'either', 'friend', 'quick', 'go', 'great']",quick lunch;
"['horribl', 'back', 'best', 'go', 'make', 'servic', 'mediocr', 'never', 'food', 'vow']",horrible service;
"['place', 'lloovv']",
"['crowd', 'accur', 'review', 'nois']",here are;
"['get', 'mind', 'spice', 'pay', 'eat', 'beauti', 'set', 'grab', 'logic', 'cheap', 'drink', 'place', 'great']",great place;cheap eats;beautiful setting;
"['enthusiast', 'check', 'one', 'go', 'last', 'friend', 'night', 'crack', 'tell', 'saturday', 'rave', 'final', 'let']",enthusiastic friends;last saturday;saturday night;
"['chili', 'rat', 'also', 'place', 'authent']",also have;more authentic;
"['terribl', 'peopl', 'serv', 'allow', 'sever', 'servic', 'everyth', 'wait', 'differ', 'thing', 'ask']",different people;same thing;
"['last', 'go', 'thursday']",last thursday;
"['place', 'love', 'go', 'everytim']",i love;place more;more everytime;
"['restaur', 'place', 'eat', 'one', 'differ', 'mani', 'tri', 'go']",many different;different restaurants;
"['food', 'atmospher', 'surpris', 'energi', 'crowd', 'peopl', 'littl', 'overpric', 'beauti', 'fill', 'good', 'cours', 'bite']",little crowded;bit overpriced;beautiful people;surprising good;
"['order', 'refil', 'dessert', 'offer', 'drink']",only ordered;ordered desserts;
"['saul', 'restaur', 'best', 'smith', 'brooklyn', 'street']",best restaurant;smith street;
"['waiter', 'sweet', 'slow']",
"['brunch', 'time', 'dinner', 'lunch', 'twice']",few times;
"['go', 'valentin', 'ino']",
"['chili', 'real', 'chicken', 'grass', 'beef', 'menu', 'kicker', 'howev', 'cub', 'lemon']",real kicker;lemon grass;
"['would', 'good', 'think']",
"['restaur', 'best', 'visit', 'indian', 'music', 'among']",indian restaurants;
"['quit', 'bread', 'chop', 'lamb', 'meal', 'good', 'howev']",lamb chops;quite good;
"['alway', 'say', 'custom']",always says;n't have;have customers;
"['best', 'atmospher', 'rao', 'servic', 'nyc']",best service;
"['ice', 'cold', 'order', 'beer', 'indian', 'instead', 'work']",instead ordered;
"['friend', 'good', 'date']",
"['repeat', 'tabl', 'never', 'complimentari', 'bring', 'request', 'throw', 'dish', 'ignor', 'sugar', 'us', 'noodl']",never brought;complimentary noodles;repeated requests;
"['tikka', 'best', 'chicken', 'one', 'masala']",best chicken;
"['decor', 'serv', 'excel', 'amid', 'dumpl', 'chic', 'clean']",excellent dumplings;chic decor;
"['slow', 'alway', 'almost', 'kitchen', 'howev']",almost always;always slow;
"['time', 'tourist', 'corn', 'squar', 'less', 'fatti', 'much', 'excel', 'place', 'beef', 'around', 'big', 'pastrami']",corned beef;much less;less fatty;big tourist;
"['cute', 'staff', 'nice', 'go', 'would', 'wait', 'never', 'place']",cute place;nice wait;never go;there again;
"['time', 'good']",good time;
"['come', 'thing', 'also', 'birthday', 'thank', 'host', 'today', 'hop', 'enjoy', 'beyond', 'truli', 'unexpect', 'us', 'girlfriend', 'mention', 'call']",
"['new', 'peopl', 'rude', 'york', 'bite']",rude bit;new york;
"['worth', 'felt']",
"['slice', 'plain', 'get', 'whole', 'like', 'sprinkl', 'top', 'place', 'spars', 'great']",get toppings;whole slice;not sparsely;sparsely sprinkled;
"['horribl', 'also', 'servic', 'ambienc', 'great']",also horrible;
"['takeout', 'servic', 'good', 'great']",
"['restaur', 'appear', 'pm', 'overwhelm', 'base', 'review']",
"['soggi', 'overpric', 'pizza']",
"['quit', 'view', 'extens', 'excel', 'menu', 'everyth', 'citi', 'eat', 'side']",quite extensive;
"['compar', 'restaur', 'pay', 'doubl', 'least', 'citi', 'still', 'italian']",least double;other italian;italian restaurant;still do;n't compare;
"['littl', 'food', 'qualiti', 'expens']",little too;too expensive;
"['come', 'hear', 'good', 'look', 'place', 'thing']",heard good;good things;
"['street', 'place', 'live']",i live;
['horribl'],
"['fake', 'tank', 'fish']",here 's;fake fish;fish tanks;
"['worth', 'though', 'wait']",
"['fresh', 'bad', 'fish', 'servic', 'never', 'delici']",never had;bad service;
"['time', 'atmospher', 'order', 'first', 'live', 'salad', 'complet', 'jazz', 'take', 'band', 'lobster', 'cobb', 'go']",first time;time i;i went;completely taken;live jazz;
"['small', 'tea', 'cute', 'decid', 'room', 'eat']",
"['experi', 'amaz', 'meal']",amazing meal;
"['apppet', 'uniqu']",unique apppetizers;
"['come', 'staff', 'handl', 'amaz', 'size', 'alway', 'differ', 'group', 'attent', 'kind', 'variou']",always been;i 've;always been;various different;different group;
"['restaur', 'best', 'town', 'fine', 'night', 'dinner', 'monday', 'deal']",best deal;monday night;fine restaurant;
"['noth', 'place', 'special']",nothing special;
"['come', 'like', 'also', 'chip', 'near', 'sandwich', 'anyth', 'side']",n't come;
"['stray', 'never']",never strayed;
"['tabl', 'like', 'atmospher', 'altern', 'raucou', 'gig', 'share', 'wait', 'long', 'sum', 'sleek', 'chinatown', 'typic', 'dim']",here is;n't like;sharing tables;typical raucous;raucous dim;
"['home', 'kid', 'leav']",
"['food', 'get', 'justifi', 'money', 'spend', 'els', 'much', 'need', 'everywher', 'signific', 'indian', 'good', 'amount', 'potenti', 'work', 'place']",good potential;significant amount;justify spending;much money;indian food;everywhere else;
"['decor', 'excel', 'perfect', 'servic', 'alway', 'everyth', 'cool', 'underst', 'cook']",always cooked;
"['break', 'bank']",n't break;
"['thai', 'food', 'good']",
"['move', 'neighborhood', 'restaur', 'sushi', 'tri', 'west', 'villag']",just moved;west village;
"['wine', 'seafood', 'select', 'great']",great selection;
['delici'],
"['price', 'accept']",acceptable prices;
"['big', 'thumb']",big thumbs;
"['yasuda', 'sushi', 'seat', 'front', 'bar']",
"['restaur', 'year', 'two', 'live', 'never', 'chelsea', 'notic']",never noticed;
"['titl', 'afford', 'restaur', 'make', 'tast', 'great']",affordable restaurant;great taste;
"['diet', 'much', 'nice', 'littl', 'even', 'scoop']",even scoop;not too;too much;
"['worth', 'price', 'definit']",definitely not;
"['back', 'tradit', 'orsay', 'well', 'throw', 'servic', 'food', 'french', 'pleasnt']",very pleasnt;pleasnt throw;traditional french;french food;french service;as well;
"['tabl', 'get', 'hustl', 'group', 'larg', 'easi']",large group;n't get;
"['reason', 'food', 'price', 'great']",great food;reasonable prices;
"['salad', 'meal', 'way', 'delici', 'begin']",delicious way;
"['delight', 'evok', 'duck', 'tamarind', 'order', 'beef', 'dish', 'unexpect', 'way', 'grind', 'thai', 'noodl', 'flavor', 'wife']",tamarind duck;ordered noodles;thai flavors;unexpected ways;
['pay'],
"['weehawken', 'view', 'ever', 'hous', 'river', 'chart', 'top', 'offer', 'idea', 'along']",ever been;
['love'],
"['restaur', 'taiwanes', 'flush', 'locat', 'better', 'queen']",better taiwanese;taiwanese restaurants;
"['less', 'dinner', 'even', 'entre', 'lunch', 'price']",even less;
"['price', 'beat']",n't beat;
"['wanna', 'live']",n't wan;na live;
"['arigato', 'yuka', 'gozima']",
"['cuisin', 'impress', 'happen', 'definit', 'tri']",definitely try;
"['yuzu', 'wonder', 'cod', 'sauc', 'black']",black cod;
"['cramp', 'high', 'unapp', 'restur', 'price']",too high;unappealing resturant;
"['choic', 'one', 'brooklyn', 'tuk', 'go', 'rare']",rare choices;
"['bistro', 'dark', 'well', 'quiet', 'asian', 'worth', 'trip']",quiet dark;dark asian;asian bistro;
"['know', 'want', 'visit', 'nyc', 'upon', 'tri', 'deli', 'orgin']",visiting nyc;orginal deli;
"['place', 'would', 'highli', 'recommend']",highly recommend;
"['sweet', 'attitud', 'total', 'otherwis', 'hipster', 'wannab', 'spot']",total hipster-wannabe;hipster-wannabe attitude;otherwise sweet;sweet spot;
"['ye', 'reserv', 'wait', 'might']",
"['emilio', 'thank']",
"['dal', 'bukhara', 'first', 'rock']",dal bukhara;
"['soggi', 'time', 'bread', 'averag', 'deliv', 'salad', 'soft', 'rude', 'servic', 'everyth', 'wait', 'incred', 'food', 'minut']",soft bread;soggy salad;incredibly rude;rude service;average food;
"['delici', 'spici', 'ask']",
"['valu', 'terrif']",
"['moist', 'like', 'dri', 'sicilian', 'favorit', 'place', 'pizza', 'great']",not dry;most places;
"['attract', 'downstair', 'loung', 'alway', 'good']",good attraction;
"['get', 'qualiti', 'portion', 'menu', 'size', 'bite', 'price', 'expens']",bit expensive;
"['prompt', 'amaz', 'servic', 'bear', 'rush', 'help', 'food']",not over-bearing;
"['waiter', 'easili', 'get', 'spend', 'water', 'pasta', 'deliv', 'chees', 'busboy', 'remain', 'empti', 'meal', 'anoth', 'would', 'offer', 'glass', 'food', 'wine', 'entir']",not waiter;entire meal;easily spent;
"['sinc', 'qualiti', 'high', 'give', 'well', 'takeout', 'tupperwar', 'great']",high quality;
"['fresh', 'oili', 'sauc', 'food', 'bland']",not fresh;were bland;very oily;
"['restaur', 'beat', 'jewel', 'path', 'plethora', 'away', 'th', 'one', 'block', 'indian', 'shin', 'street']",beaten path;street indian;indian restaurants;
"['without', 'could', 'meal', 'pricey', 'fix', 'prix']",
"['ambianc', 'date', 'excel', 'night', 'weekend', 'aliv', 'scene', 'definit', 'spot']",excellent date;
"['come', 'back', 'defiantli', 'choic', 'one', 'top', 'would']",defiantly come;back here;here again;top choices;
"['like', 'actual', 'one', 'us', 'expresso']",actually liked;
"['happi', 'everyon', 'choic']",more then;then happy;
"['waitress', 'awesom']",
"['worth', 'trip', 'manhattan']",
"['everythig', 'show', 'especi', 'love', 'actor']",
"['hot', 'best', 'meal', 'fast', 'servic', 'sauc', 'friendli', 'food', 'add', 'tasti']",very tasty;best hot;hot sauce;
"['back', 'go', 'would', 'never', 'food', 'ok']",just ok;never go;
"['zero', 'boot', 'ambianc']",
"['get', 'pm', 'loud', 'full', 'littl', 'joint']",little loud;joint got;
"['scalina', 'remind', 'fine', 'servic', 'integr', 'din', 'fede']",so integral;fine dining;
"['thai', 'popcorn', 'recommend']",i recommend;
"['time', 'nex', 'wait']",n't wait;nex time;
"['decor', 'peopl', 'even', 'everyth', 'drink', 'look', 'food', 'great']",
"['chef', 'pen', 'soon', 'check', 'us', 'father', 'lift', 'usher', 'appear']",as soon;
"['fresh', 'order', 'paratha', 'kebab', 'make', 'ensur', 'unsurpass', 'level']",ordered ensuring;
"['joint', 'neighborhood', 'great']",great neighborhood;
"['potato', 'excel', 'tuna', 'wasab']",
"['disappoint', 'busi', 'custom', 'know', 'check', 'night', 'seem', 'non', 'girl', 'coat', 'realtiv']",only disappointment;n't seem;realtively non-busy;non-busy night;check girls;
"['week', 'last', 'scopa', 'take', 'birthday', 'believ', 'food', 'fianc']",last week;n't believe;
"['beer', 'cold', 'ummm']",
"['vt', 'take', 'nyc', 'guest']",nyc guests;
"['get', 'cramp', 'littl', 'sometim', 'nyc', 'warm', 'hello']",little cramped;little warm;
"['cannoli', 'includ', 'best', 'ever', 'hous', 'dessert', 'dinner', 'offer', 'drink', 'great']",great desserts;best cannoli;ever had;
"['seat', 'crowd', 'outdoor', 'vibe', 'japanes', 'good', 'hip']",good crowd;good outdoor;hip japanese;japanese vibe;
"['restaur', 'even', 'fix', 'worth', 'price', 'prix']",not worth;
"['move', 'back', 'half', 'seat', 'high', 'area', 'though', 'empti', 'practic', 'hour', 'even', 'take', 'rest', 'room', 'traffic', 'ask']",then were;high traffic;practically empty;
"['find', 'pull', 'like', 'restaur', 'actual', 'owner', 'case', 'imagin', 'good']",actually pulled;
"['find', 'draw', 'ambianc', 'yet', 'delect', 'slow', 'reput', 'howev', 'still', 'popular']",still find;delectable reputation;
"['marin', 'part', 'restaur', 'ping', 'life', 'tank', 'clear', 'myriad', 'yet', 'healthi', 'chinatown', 'water', 'creatur', 'brunch', 'lover', 'display', 'lurk', 'murki', 'sum', 'sad', 'know', 'look', 'glass', 'dim']",other chinatown;chinatown restaurants;lurking myriad;sad-looking marine;marine life;healthy-looking creatures;not yet;yet know;be part;sum lover;
"['halibut', 'poor', 'dessert', 'servic', 'wast', 'calori', 'salti']",too salty;so so;n't waste;
"['spectacular', 'food', 'view', 'great']",
"['find', 'get', 'soon', 'food', 'boyfriend', 'reach', 'door', 'hard', 'line', 'kind', 'place', 'pack']",n't too;too hard;was kind;as soon;
"['chees', 'good', 'bagel', 'cream']",good bagels;good cream;
"['profession', 'wonder', 'servic', 'fill', 'friendli', 'food', 'tasti']",
"['extrem', 'price', 'well', 'also']",also extremely;extremely well;well priced;
"['servic', 'alway', 'great']",always great;great service;
"['awsom', 'happi', 'food']",happy i;
"['restaur', 'steakhous', 'one', 'quickli', 'favorit', 'roth', 'mani', 'citi', 'becom']",many restaurants;quickly become;
"['bone', 'small', 'get', 'dark', 'order', 'chicken', 'piec', 'casserol', 'meat']",few small;small pieces;dark meat;
"['wind', 'mezzanin', 'come', 'track', 'breezi', 'bite']",
"['valentin', 'dinner', 'day', 'df', 'go']",i went;
"['stir', 'certainli', 'fish', 'chicken', 'fri', 'soupi', 'crab', 'jelli', 'recommend', 'dumpl', 'drunken', 'blue']",i recommend;jelly fish;drunken chicken;soupy dumplings;fry blue;blue crab;
"['love', 'show']",
"['block', 'least', 'say', 'around']",very least;
"['could', 'dumpl', 'meal', 'make', 'menu', 'yummi']",yummy dumplings;dumpling menu;
"['like', 'airport', 'loung', 'place', 'aesthet']",
"['rip', 'box', 'get', 'free', 'wine']",free box;
"['food', 'stop', 'week', 'rant', 'rave', 'eat', 'earlier', 'wife']",i ate;here earlier;not stopped;
"['slice', 'chef', 'like', 'mind', 'qualiti', 'unfriendli', 'fish', 'sushi', 'staff', 'pre', 'miser', 'low', 'look', 'place']",n't mind;pre-sliced low;low quality;unfriendly staff;
"['aw', 'noth', 'servic', 'spectacular', 'food', 'ok']",just ok;nothing spectacular;
"['yummi', 'pizza', 'like', 'atmoshper']",
"['look', 'mahal', 'seat', 'choos', 'taj', 'wander', 'empti', 'except', 'mani', 'street', 'window', 'notic']",so many;such noticicing;noticicing many;many empty;empty seats;
"['also', 'favorit', 'menu', 'plan', 'roll', 'ask']",n't plan;favorite roll;n't have;
"['tri', 'give', 'enjoy']",
"['food', 'good']",good food;
"['lot', 'say']",
"['fresh', 'sashimi', 'good', 'big', 'roll']",not good;n't fresh;
"['spici', 'hear', 'excel', 'nice', 'chees', 'crust', 'thin', 'amount', 'never', 'pesto', 'pizza', 'italian']",thin-crust pizza;nice amount;spicy italian;italian cheese;never heard;
"['tabl', 'get', 'keep', 'could', 'bat', 'two', 'one', 'least', 'run', 'attent', 'around', 'cat', 'thing']",only thing;get attention;
"['restaur', 'miss', 'thai', 'cannot', 'great']",not miss;great restaurant;
"['come', 'delight', 'like', 'absolut', 'ballato', 'eat', 'home', 'kitchen', 'go']",coming home;own kitchen;absolute delight;
"['world', 'spici', 'shrimp', 'lamb', 'appet', 'valu', 'greatest', 'tri', 'worth', 'price', 'vindaloo', 'great']",greatest value;
"['world', 'companion', 'trip', 'consid', 'across', 'go', 'howev', 'food', 'ambienc']",
"['think', 'underr', 'one', 'citi', 'place']",more underrated;underrated places;
"['get', 'locat', 'towner', 'big', 'thrill']",big thrill;
"['come', 'ever', 'friend', 'convert', 'regularli', 'return', 'everyon', 'becom']",ever come;own friends;
"['visit', 'anoth', 'wait', 'good', 'worth', 'food', 'great']",not great;
"['time', 'month', 'disappoint', 'least', 'never', 'go']",never been;
"['actual', 'place', 'obvious', 'mean', 'translat', 'prosper', 'big', 'chines', 'wong', 'great']",chinese translation;not mean;big wong;actually means;great prosperity;
"['restaur', 'think', 'loud', 'full', 'romant']",too loud;
"['larger', 'date', 'husband', 'perfect', 'dinner', 'alway', 'group', 'mani', 'girlfriend', 'mom']",so many;many dinners;always been;larger groups;
"['piec', 'want', 'beef', 'head']",
"['onion', 'spice', 'ass', 'roti', 'delic', 'kick', 'egg']",kick-ass roti;
"['back', 'restaur', 'authent', 'agreabl', 'everi', 'bring', 'incred', 'day', 'thai', 'food', 'price']",incredible food;very agreable;agreable price;back just;other day;authentic thai;
"['write', 'actual', 'chanc', 'visit', 'anoth', 'patroon', 'give', 'even', 'second', 'wors']",actually gave;gave patroon;second visit;even worse;
"['tabl', 'certain', 'also', 'want', 'sit']",n't want;certain table;n't have;
['unbeliev'],
"['morn', 'hit', 'littl', 'sunday', 'realli', 'pricey', 'spot']",little pricey;really hits;sunday morning;
"['year', 'columbia', 'area', 'teen', 'live', 'univers', 'kid']",
"['back', 'potato', 'menu', 'lot', 'option', 'tri', 'hope', 'go', 'pancak']",has lots;potato pancakes;
"['get', 'soon', 'mind', 'first', 'fri', 'dumpl', 'sunday', 'saturday', 'wake', 'thing']",as soon;first thing;fried dumpling;
"['els', 'staff', 'make', 'servic', 'friendliest', 'everyth', 'stickler', 'place', 'compet']",most competent;am stickler;
"['usual', 'secondi', 'tend', 'order', 'primi', 'one', 'split', 'offer', 'larg', 'portion', 'wife']",usually only;large portions;
"['overhyp', 'restaur', 'way']",was way;
"['lectur', 'custom', 'area', 'employe', 'deliv', 'anoth', 'comment', 'overhear', 'din', 'sit']",overheard comments;not have;dining area;
"['delici', 'cake', 'crab']",delicious crab;
"['list', 'del', 'frisco', 'top', 'steakhous']",
"['imagin', 'rush', 'cannot', 'eat']",not imagine;not rushing;
"['ever', 'experi', 'worst', 'din']",worst dining;dining experience;ever had;
"['come', 'lanterna', 'la', 'year', 'noth', 'staff', 'servic', 'say', 'good', 'thing', 'great']",have nothing;good things;great staff;
"['waiter', 'may', 'bring', 'speak', 'someon', 'cantones', 'understand']",just bring;bring someone;speaks cantonese;not understand;
"['go', 'die', 'heaven', 'think']",thought i;
"['certainli', 'someplac', 'stop', 'area', 'would', 'seek', 'tri']",i am;certainly stop;
"['bruschetta', 'panini', 'yummi']",so yummy;
"['okay', 'noth', 'food', 'great']",nothing great;
"['custom', 'everi', 'bump', 'pass', 'chair', 'waitress']",
"['get', 'sinc', 'enough', 'go', 'open']",n't get;
"['wait', 'alway', 'popular', 'full']",always popular;always full;
"['miss', 'fact']",n't miss;
"['suan', 'think', 'recent', 'tri', 'great']",recently tried;i thought;
"['littl', 'nois', 'parti', 'think']",little noise;i think;
"['chef', 'sichuan', 'start', 'run', 'chinatown', 'chain']",same sichuan;
"['get', 'feel', 'settl', 'groov', 'ago']",
"['fresh', 'perform', 'ed', 'spici', 'wrap', 'serv', 'nori', 'showcas', 'seem', 'varieti', 'almost', 'bbq', 'techniqu', 'omakas', 'item', 'limp', 'roll', 'rather', 'tuna']",showcase technique;items bbq-ed;not-so-fresh nori;rather limp;limp performance;
"['outsid', 'summer', 'serv', 'wait', 'gigant', 'patio']",n't wait;gigantic patio;
"['without', 'ridicul', 'best', 'ever', 'pastrami', 'portion', 'great']",best pastrami;ever had;great portion;
"['may', 'best', 'spare', 'kai', 'appreci', 'someon', 'option', 'share', 'hope', 'food', 'thing']",are someone;same things;have food;not be;best option;
"['go', 'drink']",
"['get', 'prune', 'special']",n't get;so special;
"['littl', 'place', 'recommend', 'definit']",definitely recommend;little place;
"['come', 'neighborhood', 'mean']",
"['sampler', 'far', 'sweet', 'chocol', 'first', 'rich', 'dessert', 'good', 'cours', 'wine']",very good;too rich;dessert wine;far too;too sweet;
"['white', 'chees', 'melt', 'everywher', 'butter', 'ooz', 'warm', 'wine']",white wine;cheese oozing;
"['memor', 'privat', 'make', 'truli', 'room', 'help', 'plan', 'parti']",private room;truly memorable;very helpful;
"['extra', 'avenu', 'joe', 'favor', 'eat', 'walk']",extra avenue;
"['guest', 'cramp', 'aisl', 'sit', 'place', 'cannot', 'ambienc']",not be;very cramped;
"['time', 'back', 'want', 'shabu', 'least', 'go', 'alway', 'tatsu', 'eat']",shabu tatsu;always want;
"['disappoint', 'per', 'restaur', 'la', 'order', 'pre', 'choic', 'menu', 'offer', 'fix', 'cours', 'cart', 'end']",pre-fixe menu;other restaurants;
"['pakistani', 'food', 'authent']",authentic pakistani;
"['without', 'chef', 'grate', 'coupl', 'staff', 'seem', 'alway', 'occas', 'us', 'friendli', 'greet']",always been;seeming grating;
"['get', 'togeth']",
"['claim', 'manhattan', 'bake', 'also', 'serv', 'one', 'eggplant', 'friend', 'better', 'meatsauc', 'parmesan', 'ziti', 'grow', 'great']",eggplant parmesan;also great;better baked;baked ziti;
"['qualiti', 'prepar', 'fair', 'ingredi', 'nyc', 'around', 'price']",very fair;fair price;
"['prompt', 'intrus', 'servic', 'non', 'attent', 'good']",very good;
"['hot', 'coupl', 'shrimp', 'imit', 'unnecessarili', 'full', 'squid', 'piec', 'crabmeat', 'heat', 'seafood', 'entre', 'burner', 'pot']",hot pot;unnecessarily heated;
"['artisan', 'chees', 'blend', 'dip', 'kielbasa', 'fondu', 'appl', 'add', 'begin']",artisanal blend;added apples;
"['find', 'part', 'town', 'place', 'lunch', 'valu', 'good', 'crappi', 'great']",crappy part;good value;
"['slurri', 'regular', 'crap', 'curri', 'mill', 'run', 'food']",not curry;regular run;
"['horribl', 'food', 'leav', 'peopl', 'two', 'fact', 'saw', 'menu', 'help', 'tell', 'look', 'place']",n't help;
"['tabl', 'restaur', 'seat', 'though', 'even', 'problem', 'upstair', 'promptli', 'pack', 'ask']",even asked;table upstairs;
"['chines', 'usual', 'white', 'want', 'place', 'american', 'wateri', 'gener', 'sauc', 'food']",chinese food;usual watery;generic white;white sauce;
"['plain', 'bread', 'style', 'unlik', 'paratha', 'soft', 'calcutta', 'stuff', 'use', 'flavor', 'tandoori']",soft paratha;tandoori styled;very flavorful;
"['will', 'time', 'pizza', 'slow', 'littl', 'servic', 'good', 'way', 'overlook', 'deliveri', 'friendli', 'price', 'tast']",little slow;i 'm;
